Session,Representation,Analysis_Level,Window_Index,t_mid_s,Window_Start_s,Window_End_s,Window_Length_s,Time_mid,Window_Start_Time,Window_End_Time,Band,Channel,Feature,Shannon_Entropy,Lempel_Ziv_Complexity,N_Samples,Sampling_Rate_Hz,Entropy_Bins,Entropy_Definition,LZC_Normalization,LZC_Threshold,LZC_Definition,Flux_Source,Flux_L2_mean_per_s,Flux_L2_median_per_s,Flux_L2_sd_per_s,Flux_L2_q25_per_s,Flux_L2_q75_per_s,N_Flux_Steps,Progress_0_to_1
BASELINE_EC,POW,Band,0,5,0,10,10,2025-10-05T15:47:55.938829899,2025-10-05T15:47:50.938829899,2025-10-05T15:48:00.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.384170271,0.3130790125,81,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,2.354396458681813,0.6541319893612301,2.7893009057874916,0.6541319860226344,4.275959964795346,80,0.0
BASELINE_EC,POW,Band,1,15,10,20,10,2025-10-05T15:48:05.938829899,2025-10-05T15:48:00.938829899,2025-10-05T15:48:10.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.692406418,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,16.707522934080934,6.882923095733768,28.9465372104013,3.8761933070773513,10.184585746804432,80,0.005555555555555556
BASELINE_EC,POW,Band,2,25,20,30,10,2025-10-05T15:48:15.938829899,2025-10-05T15:48:10.938829899,2025-10-05T15:48:20.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.707543201,0.3160964047,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,2.3774462690942184,1.010201071866272,3.2937598885709516,0.5201955926465787,3.0890518368405133,80,0.011111111111111112
BASELINE_EC,POW,Band,3,35,30,40,10,2025-10-05T15:48:25.938829899,2025-10-05T15:48:20.938829899,2025-10-05T15:48:30.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2.278921011,0.7112169107,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,7.349242239845495,6.634389506237106,5.030676592788433,3.5752294105160036,10.025286330037021,80,0.016666666666666666
BASELINE_EC,POW,Band,4,45,40,50,10,2025-10-05T15:48:35.938829899,2025-10-05T15:48:30.938829899,2025-10-05T15:48:40.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.739714365,0.7902410119,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,12.06971634627598,8.522845483353041,12.217612576142058,4.875594125249335,14.437515566386747,80,0.022222222222222223
BASELINE_EC,POW,Band,5,55,50,60,10,2025-10-05T15:48:45.938829899,2025-10-05T15:48:40.938829899,2025-10-05T15:48:50.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2.587315341,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,12.954373197819303,8.282902911668035,10.063079825786552,4.829842967400657,20.31176056020417,80,0.027777777777777776
BASELINE_EC,POW,Band,6,65,60,70,10,2025-10-05T15:48:55.938829899,2025-10-05T15:48:50.938829899,2025-10-05T15:49:00.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2.069345667,0.5531687083,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,6.206919994873166,5.163315302774487,3.2034599501803283,3.8406398323825224,7.667628097498908,80,0.03333333333333333
BASELINE_EC,POW,Band,7,75,70,80,10,2025-10-05T15:49:05.938829899,2025-10-05T15:49:00.938829899,2025-10-05T15:49:10.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.500645789,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,6.169983941666915,5.61377995013275,2.6914108222818514,4.0196598781127575,7.698476728098397,80,0.03888888888888889
BASELINE_EC,POW,Band,8,85,80,90,10,2025-10-05T15:49:15.938829899,2025-10-05T15:49:10.938829899,2025-10-05T15:49:20.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2.45855327,0.5531687083,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,9.43626511086423,6.735629739858664,6.976414188835773,3.9845016853095996,13.32013134098351,80,0.044444444444444446
BASELINE_EC,POW,Band,9,95,90,100,10,2025-10-05T15:49:25.938829899,2025-10-05T15:49:20.938829899,2025-10-05T15:49:30.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2.292835531,0.3160964047,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,10.844997010413831,7.183937886040056,9.469084797532263,4.060173110512157,14.01843958749949,80,0.05
BASELINE_EC,POW,Band,10,105,100,110,10,2025-10-05T15:49:35.938829899,2025-10-05T15:49:30.938829899,2025-10-05T15:49:40.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,3.054743558,0.4741446071,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,16.821565456319316,8.352388089800733,23.55034194828138,4.72867462345977,15.423395144306406,80,0.05555555555555555
BASELINE_EC,POW,Band,11,115,110,120,10,2025-10-05T15:49:45.938829899,2025-10-05T15:49:40.938829899,2025-10-05T15:49:50.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2.004514685,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_BaselineStandardised,9.734420922586878,5.92169562498847,12.711071748904983,0.614130245926281,10.426998847422256,80,0.06111111111111111
