Track,N_Matched,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,DeltaEntropy_Mean,DeltaEntropy_Median,DeltaEntropy_Q25,DeltaEntropy_Q75,DeltaLZC_Mean,DeltaLZC_Median,DeltaLZC_Q25,DeltaLZC_Q75,DeltaFlux_Mean,DeltaFlux_Median,DeltaFlux_Q25,DeltaFlux_Q75,Corr_DeltaEntropy_DeltaLZC,Corr_DeltaEntropy_DeltaFlux,Corr_DeltaLZC_DeltaFlux,N_Hplus_LZCminus_Fluxplus,N_Hplus_LZCminus_Fluxminus,Pct_Hplus_LZCminus,N_H-_LZC-_Flux-,N_H-_LZC-_Flux+,N_H-_LZC+_Flux-,N_H-_LZC+_Flux+,N_H+_LZC-_Flux-,N_H+_LZC-_Flux+,N_H+_LZC+_Flux-,N_H+_LZC+_Flux+,Band,Channel,Feature
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.7687249237138124,-0.7376068389999997,-1.1931211439999996,-0.331491481000008,0.009592636365193408,0.0,-0.07902410120000003,0.15804820239999706,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.1037149034337913,0.4484467185689303,0.001706692811731556,1,5,3.314917127071823,64,5,71,5,5,1,3,5,Alpha,C3,POW.C3.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.24167113309613228,-0.2567071810000141,-0.6503804469999999,0.20079680300000025,-4.1676707183675655e-06,0.0,-0.15804820239999384,0.07902410120000158,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.1144723102274458,0.4226105621585655,0.07308137983109442,4,28,17.679558011049725,47,5,49,5,28,4,21,5,Alpha,C4,POW.C4.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.7007557161690612,-0.6581000550000002,-1.2174878900000001,-0.0880874089999999,0.016124924350275942,0.0,-0.07902410120000003,0.15804820239999684,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.14707198155646561,0.4526250154376469,0.11726368687216147,4,13,9.392265193370166,48,4,62,2,13,4,9,7,Alpha,CP1,POW.CP1.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.36668226931325987,-0.39104365600000035,-0.8622964670000024,0.1777788869999899,0.0366741685110495,0.07902410119999959,-0.07902410119999997,0.15804820239999995,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.08455208401212869,0.4604118218137437,0.1005658231956166,5,15,11.049723756906078,33,2,69,3,15,5,22,5,Alpha,CP2,POW.CP2.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-1.1971760908917135,-1.126248318,-1.7241418139999998,-0.6852546749999999,0.023551245174585497,3.219646771412954e-15,-0.07902410120000003,0.15804820239999995,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.14885827908854807,0.4049759060326069,-0.04281058589754359,0,3,1.6574585635359116,55,8,82,7,3,0,3,2,Alpha,CP5,POW.CP5.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.5832823423900554,-0.6194857790000001,-0.952263936,-0.15744972999999973,0.022270627122651945,0.0,-0.07902410119999997,0.07902410120000158,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.046928639690387686,0.4902231592936799,0.041557745211708054,5,9,7.734806629834254,50,3,60,4,9,5,12,3,Alpha,CP6,POW.CP6.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.8422879888955802,-0.8331447380000139,-1.205184043,-0.41942747299999983,-0.005247502269060723,0.0,-0.07902410120000003,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.1589689692368275,0.3990701351055098,0.00667399458593588,1,8,4.972375690607735,64,5,69,6,8,1,3,2,Alpha,Cz,POW.Cz.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.6190182942596687,-0.6469650099999997,-1.0163221290000064,-0.17278026000000013,0.00479840201767947,0.0,-0.07902410120000003,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.1425870127222736,0.3835205667932052,0.057799735021942744,3,17,11.049723756906078,47,5,63,5,17,3,10,4,Alpha,F3,POW.F3.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.13732830056906084,-0.13879253799999614,-0.5156784050000001,0.29931335599999986,-0.01134319301270714,0.0,-0.07902410120000003,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.14192969719719445,0.37808628370186115,0.17703898696428874,3,32,19.337016574585636,40,1,37,7,32,3,18,5,Alpha,F4,POW.F4.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.3847522379171271,-0.4580427949999999,-0.8131467490000004,0.08945538499999994,-0.00044076491325985436,0.0,-0.07902410120000003,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.06245227175118324,0.3254693381410496,0.13827646088043793,4,26,16.574585635359117,42,3,52,6,26,4,12,4,Alpha,F7,POW.F7.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.2701877070160225,-0.26611411900000004,-0.6267358870000002,0.10277081999999993,-0.020965003059668474,0.0,-0.15804820239999767,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.2088260240632552,0.4777344257091294,0.0800025610437471,4,25,16.022099447513813,49,4,47,7,25,4,13,1,Alpha,F8,POW.F8.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.3139134352651931,-0.29083472399999977,-0.6498169019999995,0.060510315999988684,-0.0065572940027625514,0.0,-0.07902410120000003,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.1781324875690413,0.4474371496676608,0.04196376252592585,4,24,15.469613259668508,40,2,57,5,24,4,9,6,Alpha,FC1,POW.FC1.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,0.2452674749392267,0.25515912999999957,-0.08806726899999973,0.6004023749999998,0.0039252075287291915,0.0,-0.07902410120000003,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.15435010358397683,0.4350498820354848,-0.026819530130046912,7,44,28.176795580110497,16,1,30,2,44,7,48,5,Alpha,FC2,POW.FC2.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.7290579823099449,-0.7417245039999996,-1.073206984,-0.2572554560000002,0.001288953386187789,0.0,-0.07902410120000003,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.11247149573641088,0.3558493876359436,0.09302985090229852,3,10,7.18232044198895,60,7,60,6,10,3,5,1,Alpha,FC5,POW.FC5.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.4089910012320443,-0.34321848999999993,-0.6983401349999996,-0.07665758800000022,-0.002623751136464133,0.0,-0.15804820239999373,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.1391628916086853,0.4027921832275154,0.14192736166369108,3,18,11.602209944751381,55,3,54,6,18,3,10,4,Alpha,FC6,POW.FC6.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.0836144973950278,-0.05855976700000021,-0.43089489999998865,0.2801048750000015,-0.003056180711602191,0.0,-0.07902410120000314,0.07902410120000014,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.07162721622111369,0.5118695050046826,0.13943975658344296,3,35,20.994475138121548,38,1,42,4,35,3,24,8,Alpha,FT10,POW.FT10.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,0.014125838839779224,0.0014314159999999632,-0.5083879299999996,0.5169437810000033,-0.018345419594475533,-1.5543122344752192e-15,-0.15804820239999923,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.1079673081832873,0.28320291746994103,0.15759097303562852,5,43,26.519337016574585,43,2,27,6,43,5,27,4,Alpha,FT9,POW.FT9.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.18893506064640914,-0.22859615700000013,-0.5544681600000003,0.25737613099999646,-0.0039377105370166565,0.0,-0.07902410120000003,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.11392346456102449,0.35523312760317094,0.1988103965026209,5,23,15.469613259668508,43,3,39,6,23,5,25,3,Alpha,Fp1,POW.Fp1.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.165780283574586,-0.18899269300000032,-0.5524602740000004,0.20348309700000033,-0.018345419592817776,0.0,-0.15804820239999995,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.17142164949664399,0.3540356936885235,0.17088342482338023,4,37,22.65193370165746,40,3,40,5,37,4,19,4,Alpha,Fp2,POW.Fp2.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.02427276181712686,-0.05744926599999989,-0.42012050599999995,0.37865433800000003,-0.012682158425414466,0.0,-0.07902410120000014,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.15419291588656092,0.390480631776394,0.04713387278022479,5,40,24.861878453038674,33,2,42,5,40,5,20,4,Alpha,Fz,POW.Fz.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.17092927153756957,-0.20098791900000057,-0.6972942480000004,0.3177376479999845,0.013509508555248257,0.0,-0.0790241012000017,0.07902410120000164,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.0994395476400104,0.3964419596771946,0.11990159690632358,6,29,19.337016574585636,37,1,49,3,29,6,24,4,Alpha,O1,POW.O1.Alpha
POW_Feature_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.19528327830607786,-0.26244006699999733,-0.7552627469999997,0.2626541809999998,0.00870693886961314,0.0,-0.07902410120000003,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.034898190047446785,0.38072348790324223,0.09891816141500434,6,25,17.12707182320442,40,2,45,2,25,6,31,6,Alpha,O2,POW.O2.Alpha
