Session,Representation,Analysis_Level,Window_Index,t_mid_s,Window_Start_s,Window_End_s,Window_Length_s,Time_mid,Window_Start_Time,Window_End_Time,Band,Channel,Feature,Shannon_Entropy,Lempel_Ziv_Complexity,N_Samples,Sampling_Rate_Hz,Entropy_Bins,Entropy_Definition,LZC_Normalization,LZC_Threshold,LZC_Definition,Flux_Source,Flux_L2_mean_per_s,Flux_L2_median_per_s,Flux_L2_sd_per_s,Flux_L2_q25_per_s,Flux_L2_q75_per_s,N_Flux_Steps,Progress_0_to_1
BASELINE_EC,POW,Band,0,5,0,10,10,2025-10-05T15:47:55.938829899,2025-10-05T15:47:50.938829899,2025-10-05T15:48:00.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.384170271,0.3130790125,81,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,4.517381155069522,1.194535883178737,5.39940988017193,1.1945358770820111,8.946552558164562,80,0.0
BASELINE_EC,POW,Band,1,15,10,20,10,2025-10-05T15:48:05.938829899,2025-10-05T15:48:00.938829899,2025-10-05T15:48:10.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.692406418,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,21.123546211340216,13.377005055133004,24.40555009343653,7.417474026140274,21.21236958696477,80,0.005555555555555556
BASELINE_EC,POW,Band,2,25,20,30,10,2025-10-05T15:48:15.938829899,2025-10-05T15:48:10.938829899,2025-10-05T15:48:20.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.707543201,0.3160964047,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,4.329301797467854,2.070897148467294,6.421550032461837,0.9569408124363441,5.728272641293024,80,0.011111111111111112
BASELINE_EC,POW,Band,3,35,30,40,10,2025-10-05T15:48:25.938829899,2025-10-05T15:48:20.938829899,2025-10-05T15:48:30.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2.278921011,0.7112169107,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,14.86785358850779,13.037901327964406,11.206333718601268,6.893588067264431,20.667925310479337,80,0.016666666666666666
BASELINE_EC,POW,Band,4,45,40,50,10,2025-10-05T15:48:35.938829899,2025-10-05T15:48:30.938829899,2025-10-05T15:48:40.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.739714365,0.7902410119,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,18.405590746164773,15.589642447710174,12.38697506380656,7.1716766183891725,24.661601909768006,80,0.022222222222222223
BASELINE_EC,POW,Band,5,55,50,60,10,2025-10-05T15:48:45.938829899,2025-10-05T15:48:40.938829899,2025-10-05T15:48:50.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2.587315341,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,27.81969921415694,17.565416756266316,21.89741256074642,10.729063209895116,44.332163477031884,80,0.027777777777777776
BASELINE_EC,POW,Band,6,65,60,70,10,2025-10-05T15:48:55.938829899,2025-10-05T15:48:50.938829899,2025-10-05T15:49:00.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2.069345667,0.5531687083,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,11.486631455408121,9.388523116041853,6.103627095376013,7.118317101786755,15.077195858673893,80,0.03333333333333333
BASELINE_EC,POW,Band,7,75,70,80,10,2025-10-05T15:49:05.938829899,2025-10-05T15:49:00.938829899,2025-10-05T15:49:10.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.500645789,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,11.352129187307458,9.45337934440793,5.615736987640587,7.55934155582042,12.973907641750992,80,0.03888888888888889
BASELINE_EC,POW,Band,8,85,80,90,10,2025-10-05T15:49:15.938829899,2025-10-05T15:49:10.938829899,2025-10-05T15:49:20.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2.45855327,0.5531687083,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,18.864017853569315,13.041179528834373,14.43206246677676,8.017899563484956,27.58555442812434,80,0.044444444444444446
BASELINE_EC,POW,Band,9,95,90,100,10,2025-10-05T15:49:25.938829899,2025-10-05T15:49:20.938829899,2025-10-05T15:49:30.938829899,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2.292835531,0.3160964047,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,23.927448523429298,15.361046443930436,23.308173867622276,7.582010542519967,30.53197479160903,80,0.05
