Session,Representation,Analysis_Level,Window_Index,t_mid_s,Window_Start_s,Window_End_s,Window_Length_s,Time_mid,Window_Start_Time,Window_End_Time,Band,Channel,Feature,Shannon_Entropy,Lempel_Ziv_Complexity,N_Samples,Sampling_Rate_Hz,Entropy_Bins,Entropy_Definition,LZC_Normalization,LZC_Threshold,LZC_Definition,Flux_Source,Flux_L2_mean_per_s,Flux_L2_median_per_s,Flux_L2_sd_per_s,Flux_L2_q25_per_s,Flux_L2_q75_per_s,N_Flux_Steps,Progress_0_to_1
MODULATION_DATASET,POW,Band,0,5,0,10,10,2025-10-09T15:29:48.822319984,2025-10-09T15:29:43.822319984,2025-10-09T15:29:53.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.9599377176,0.4696185187,81,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,5.460382940467364,3.266579703514712,5.093602896485148,1.9958589751676874,7.244842846355793,80,0.0
MODULATION_DATASET,POW,Band,1,15,10,20,10,2025-10-09T15:29:58.822319984,2025-10-09T15:29:53.822319984,2025-10-09T15:30:03.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.106001125,0.4741446071,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,17.29858197230692,10.065122511492364,16.667765777551754,5.393475320008739,24.313245220050593,80,0.005555555555555556
MODULATION_DATASET,POW,Band,2,25,20,30,10,2025-10-09T15:30:08.822319984,2025-10-09T15:30:03.822319984,2025-10-09T15:30:13.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.139275202,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,13.5689490489785,5.511945667732168,19.805313980682037,2.2556300572782253,18.05921057663717,80,0.011111111111111112
MODULATION_DATASET,POW,Band,3,35,30,40,10,2025-10-09T15:30:18.822319984,2025-10-09T15:30:13.822319984,2025-10-09T15:30:23.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.678862862,0.5531687083,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,31.226744601230667,17.837029140399828,34.94356332935166,11.43617175196366,30.86263421902328,80,0.016666666666666666
MODULATION_DATASET,POW,Band,4,45,40,50,10,2025-10-09T15:30:28.822319984,2025-10-09T15:30:23.822319984,2025-10-09T15:30:33.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.342295423,0.7112169107,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,9.587346804221479,8.680389340679554,5.075464435414893,6.58923389421585,11.373856069704843,80,0.022222222222222223
MODULATION_DATASET,POW,Band,5,55,50,60,10,2025-10-09T15:30:38.822319984,2025-10-09T15:30:33.822319984,2025-10-09T15:30:43.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.826364161,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,13.307369558341048,11.686974386787396,6.9365912081825005,8.214374120061333,15.08167257286453,80,0.027777777777777776
MODULATION_DATASET,POW,Band,6,65,60,70,10,2025-10-09T15:30:48.822319984,2025-10-09T15:30:43.822319984,2025-10-09T15:30:53.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.7219280949,0.4741446071,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,10.194026763205226,4.683083856403299,13.464819172916886,3.6363549661680685,12.244404477519291,80,0.03333333333333333
MODULATION_DATASET,POW,Band,7,75,70,80,10,2025-10-09T15:30:58.822319984,2025-10-09T15:30:53.822319984,2025-10-09T15:31:03.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.9959386076,0.4741446071,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,5.231118988684047,4.790229679030869,2.9763425243246266,2.2004117326875763,7.3182911751967,80,0.03888888888888889
MODULATION_DATASET,POW,Band,8,85,80,90,10,2025-10-09T15:31:08.822319984,2025-10-09T15:31:03.822319984,2025-10-09T15:31:13.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.5435644432,0.7902410119,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,8.488108726589962,5.900416246436395,5.866854701369711,4.648042760547704,9.872093921154633,80,0.044444444444444446
MODULATION_DATASET,POW,Band,9,95,90,100,10,2025-10-09T15:31:18.822319984,2025-10-09T15:31:13.822319984,2025-10-09T15:31:23.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.3843115441,0.3951205059,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,2.2463596015605147,0.5249230771485669,3.7186791514499387,0.5249230753920018,0.5249230787715461,80,0.05
MODULATION_DATASET,POW,Band,10,105,100,110,10,2025-10-09T15:31:28.822319984,2025-10-09T15:31:23.822319984,2025-10-09T15:31:33.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.4280696292,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,5.319856304833882,4.500342125777598,5.9801021536407895,1.3686845544454267,6.428336603389697,80,0.05555555555555555
MODULATION_DATASET,POW,Band,11,115,110,120,10,2025-10-09T15:31:38.822319984,2025-10-09T15:31:33.822319984,2025-10-09T15:31:43.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.5074109637,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,7.509329894978992,6.04273551082,5.448666804130855,4.312924741305126,8.609698141504383,80,0.06111111111111111
MODULATION_DATASET,POW,Band,12,125,120,130,10,2025-10-09T15:31:48.822319984,2025-10-09T15:31:43.822319984,2025-10-09T15:31:53.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.9995491108,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,8.758636905656505,8.852632240798677,4.135815725953551,4.825179434693841,12.07714066625616,80,0.06666666666666667
MODULATION_DATASET,POW,Band,13,135,130,140,10,2025-10-09T15:31:58.822319984,2025-10-09T15:31:53.822319984,2025-10-09T15:32:03.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.508573534,0.4741446071,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,10.954557869374483,9.443799405607518,5.869182492210952,6.150414480953328,13.80318409211792,80,0.07222222222222222
MODULATION_DATASET,POW,Band,14,145,140,150,10,2025-10-09T15:32:08.822319984,2025-10-09T15:32:03.822319984,2025-10-09T15:32:13.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.8304955225,0.7902410119,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,8.552563395059963,7.819500894766489,3.3765147214599525,5.666084667651369,10.887885797642532,80,0.07777777777777778
MODULATION_DATASET,POW,Band,15,155,150,160,10,2025-10-09T15:32:18.822319984,2025-10-09T15:32:13.822319984,2025-10-09T15:32:23.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.998195879,0.7902410119,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,8.994098661321583,8.311995039551132,2.923170067032606,7.10402339981907,10.522310576417194,80,0.08333333333333333
MODULATION_DATASET,POW,Band,16,165,160,170,10,2025-10-09T15:32:28.822319984,2025-10-09T15:32:23.822319984,2025-10-09T15:32:33.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.14448832,0.869265113,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,8.97559228498134,8.949958507147091,3.3327049784736156,6.2805859292199475,11.188036851061064,80,0.08888888888888889
MODULATION_DATASET,POW,Band,17,175,170,180,10,2025-10-09T15:32:38.822319984,2025-10-09T15:32:33.822319984,2025-10-09T15:32:43.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.735680815,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,16.49271593119472,7.922427820678529,16.158027532766102,5.612791367867312,20.9753008174837,80,0.09444444444444444
MODULATION_DATASET,POW,Band,18,185,180,190,10,2025-10-09T15:32:48.822319984,2025-10-09T15:32:43.822319984,2025-10-09T15:32:53.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.491828593,0.5531687083,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,10.650017688735744,9.665945804264318,4.984990500444275,6.580287296257884,14.44392778390321,80,0.1
MODULATION_DATASET,POW,Band,19,195,190,200,10,2025-10-09T15:32:58.822319984,2025-10-09T15:32:53.822319984,2025-10-09T15:33:03.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.438499616,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_MatchingBand_L2_Native,11.827978341374878,10.614545232498948,4.3475034491655675,8.394642898895862,14.867267862539961,80,0.10555555555555556
