Session,Representation,Analysis_Level,Window_Index,t_mid_s,Window_Start_s,Window_End_s,Window_Length_s,Time_mid,Window_Start_Time,Window_End_Time,Band,Channel,Feature,Shannon_Entropy,Lempel_Ziv_Complexity,N_Samples,Sampling_Rate_Hz,Entropy_Bins,Entropy_Definition,LZC_Normalization,LZC_Threshold,LZC_Definition,Flux_Source,Flux_L2_mean_per_s,Flux_L2_median_per_s,Flux_L2_sd_per_s,Flux_L2_q25_per_s,Flux_L2_q75_per_s,N_Flux_Steps,Progress_0_to_1
MODULATION_DATASET,POW,Band,0,5,0,10,10,2025-10-09T15:29:48.822319984,2025-10-09T15:29:43.822319984,2025-10-09T15:29:53.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.9599377176,0.4696185187,81,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,7.128503409361724,3.6084741577905786,6.567226337264908,1.5560077258926046,13.68366072228034,80,0.0
MODULATION_DATASET,POW,Band,1,15,10,20,10,2025-10-09T15:29:58.822319984,2025-10-09T15:29:53.822319984,2025-10-09T15:30:03.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.106001125,0.4741446071,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,8.47655811444902,4.9894685416443325,9.223392798377866,4.331722814837293,6.757085863327878,80,0.005555555555555556
MODULATION_DATASET,POW,Band,2,25,20,30,10,2025-10-09T15:30:08.822319984,2025-10-09T15:30:03.822319984,2025-10-09T15:30:13.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.139275202,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,9.288547067647276,5.973053346792758,7.652928445311867,2.4927940116533924,14.857334930128879,80,0.011111111111111112
MODULATION_DATASET,POW,Band,3,35,30,40,10,2025-10-09T15:30:18.822319984,2025-10-09T15:30:13.822319984,2025-10-09T15:30:23.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.678862862,0.5531687083,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,22.788665362557996,14.778952057820405,23.389375195148983,11.612978558606327,20.212928166288833,80,0.016666666666666666
MODULATION_DATASET,POW,Band,4,45,40,50,10,2025-10-09T15:30:28.822319984,2025-10-09T15:30:23.822319984,2025-10-09T15:30:33.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.342295423,0.7112169107,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,16.04956523887982,12.118671518352073,10.88725824220411,8.621092224510699,19.291357493626577,80,0.022222222222222223
MODULATION_DATASET,POW,Band,5,55,50,60,10,2025-10-09T15:30:38.822319984,2025-10-09T15:30:33.822319984,2025-10-09T15:30:43.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.826364161,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,16.407017831530773,14.429111649654697,10.797975834357844,5.478363694128048,20.807598862389476,80,0.027777777777777776
MODULATION_DATASET,POW,Band,6,65,60,70,10,2025-10-09T15:30:48.822319984,2025-10-09T15:30:43.822319984,2025-10-09T15:30:53.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.7219280949,0.4741446071,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,5.915698809662375,5.388584836362053,2.8316781727570004,3.7042445721179793,6.638729813422697,80,0.03333333333333333
MODULATION_DATASET,POW,Band,7,75,70,80,10,2025-10-09T15:30:58.822319984,2025-10-09T15:30:53.822319984,2025-10-09T15:31:03.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.9959386076,0.4741446071,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,4.298965225428654,4.722635341739483,2.466080416178994,1.239935535828844,5.727339197239388,80,0.03888888888888889
MODULATION_DATASET,POW,Band,8,85,80,90,10,2025-10-09T15:31:08.822319984,2025-10-09T15:31:03.822319984,2025-10-09T15:31:13.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.5435644432,0.7902410119,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,5.57930334776021,4.8429463189740245,3.000725515844112,3.614973658467151,6.351819396510303,80,0.044444444444444446
MODULATION_DATASET,POW,Band,9,95,90,100,10,2025-10-09T15:31:18.822319984,2025-10-09T15:31:13.822319984,2025-10-09T15:31:23.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.3843115441,0.3951205059,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,1.58297709566207,0.3452402312220454,2.5859638514126106,0.3400662024247002,0.3939299174086953,80,0.05
MODULATION_DATASET,POW,Band,10,105,100,110,10,2025-10-09T15:31:28.822319984,2025-10-09T15:31:23.822319984,2025-10-09T15:31:33.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.4280696292,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,5.237526087828333,4.3271602140906165,4.348676663756725,1.65618265681786,7.351844209063058,80,0.05555555555555555
MODULATION_DATASET,POW,Band,11,115,110,120,10,2025-10-09T15:31:38.822319984,2025-10-09T15:31:33.822319984,2025-10-09T15:31:43.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.5074109637,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,12.970090696976015,9.94279949861947,7.675088159365842,7.168445233421882,16.944507623136936,80,0.06111111111111111
MODULATION_DATASET,POW,Band,12,125,120,130,10,2025-10-09T15:31:48.822319984,2025-10-09T15:31:43.822319984,2025-10-09T15:31:53.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.9995491108,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,13.249018554981845,9.417352729583369,9.213813289704525,6.056009550819757,19.88025732345897,80,0.06666666666666667
MODULATION_DATASET,POW,Band,13,135,130,140,10,2025-10-09T15:31:58.822319984,2025-10-09T15:31:53.822319984,2025-10-09T15:32:03.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.508573534,0.4741446071,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,14.033927732567019,13.198044535043962,6.392240728387409,8.829646949218986,17.63453794087056,80,0.07222222222222222
MODULATION_DATASET,POW,Band,14,145,140,150,10,2025-10-09T15:32:08.822319984,2025-10-09T15:32:03.822319984,2025-10-09T15:32:13.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.8304955225,0.7902410119,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,12.664493949426713,11.366210478107835,4.972024762626802,8.872584302583373,15.175361892451196,80,0.07777777777777778
MODULATION_DATASET,POW,Band,15,155,150,160,10,2025-10-09T15:32:18.822319984,2025-10-09T15:32:13.822319984,2025-10-09T15:32:23.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.998195879,0.7902410119,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,14.674999417187271,12.383210094141074,6.355170803837778,10.148614683997117,17.747517821833807,80,0.08333333333333333
MODULATION_DATASET,POW,Band,16,165,160,170,10,2025-10-09T15:32:28.822319984,2025-10-09T15:32:23.822319984,2025-10-09T15:32:33.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.14448832,0.869265113,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,20.163389168241235,18.902145706868122,8.837109484304086,13.482317328814343,25.333669520045024,80,0.08888888888888889
MODULATION_DATASET,POW,Band,17,175,170,180,10,2025-10-09T15:32:38.822319984,2025-10-09T15:32:33.822319984,2025-10-09T15:32:43.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.735680815,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,20.83615024065575,17.904218414310932,10.899972770956099,11.557549614118026,29.812790718461493,80,0.09444444444444444
MODULATION_DATASET,POW,Band,18,185,180,190,10,2025-10-09T15:32:48.822319984,2025-10-09T15:32:43.822319984,2025-10-09T15:32:53.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.491828593,0.5531687083,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,13.765721930014234,10.291073024087432,9.357933748533451,7.33235946282184,17.198734795026933,80,0.1
MODULATION_DATASET,POW,Band,19,195,190,200,10,2025-10-09T15:32:58.822319984,2025-10-09T15:32:53.822319984,2025-10-09T15:33:03.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.438499616,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,16.051354914732023,15.613843415022771,6.592949100127831,10.526481415070275,20.808575886794603,80,0.10555555555555556
MODULATION_DATASET,POW,Band,20,205,200,210,10,2025-10-09T15:33:08.822319984,2025-10-09T15:33:03.822319984,2025-10-09T15:33:13.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.9544340029,0.7112169107,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,16.958083578587285,12.10999091034832,11.83606024156156,8.446753917570684,23.079299538666554,80,0.1111111111111111
MODULATION_DATASET,POW,Band,21,215,210,220,10,2025-10-09T15:33:18.822319984,2025-10-09T15:33:13.822319984,2025-10-09T15:33:23.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.418049125,0.9482892142,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,14.882915338781947,14.449259992659567,5.404418113569739,10.356985719256329,18.772919612432474,80,0.11666666666666667
MODULATION_DATASET,POW,Band,22,225,220,230,10,2025-10-09T15:33:28.822319984,2025-10-09T15:33:23.822319984,2025-10-09T15:33:33.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.679719803,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,14.019900831283474,12.79683405848299,5.903161085654013,10.437714952648673,16.153953941241994,80,0.12222222222222222
MODULATION_DATASET,POW,Band,23,235,230,240,10,2025-10-09T15:33:38.822319984,2025-10-09T15:33:33.822319984,2025-10-09T15:33:43.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.47423287,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,23.932500276474492,18.383637043128733,16.24314478770116,11.416096620864273,29.637340312110695,80,0.12777777777777777
MODULATION_DATASET,POW,Band,24,245,240,250,10,2025-10-09T15:33:48.822319984,2025-10-09T15:33:43.822319984,2025-10-09T15:33:53.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0.8654698974,0.7112169107,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,19.35644415967286,18.348322611521418,7.53818673081466,13.571571319000693,23.890635129044462,80,0.13333333333333333
MODULATION_DATASET,POW,Band,25,255,250,260,10,2025-10-09T15:33:58.822319984,2025-10-09T15:33:53.822319984,2025-10-09T15:34:03.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.472827356,0.6321928095,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,19.20378576898417,17.592726778767325,7.858141612075501,12.776592006000245,25.276887280542788,80,0.1388888888888889
MODULATION_DATASET,POW,Band,26,265,260,270,10,2025-10-09T15:34:08.822319984,2025-10-09T15:34:03.822319984,2025-10-09T15:34:13.822319984,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1.516327151,0.5531687083,80,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,21.423367422967324,16.845021203689015,14.256267464650405,12.18900697080122,27.35173626471676,80,0.14444444444444443
