Session,Representation,Analysis_Level,Window_Index,t_mid_s,Window_Start_s,Window_End_s,Window_Length_s,Time_mid,Window_Start_Time,Window_End_Time,Band,Channel,Feature,Shannon_Entropy,Lempel_Ziv_Complexity,N_Samples,Sampling_Rate_Hz,Entropy_Bins,Entropy_Definition,LZC_Normalization,LZC_Threshold,LZC_Definition,Flux_Source,Flux_L2_mean_per_s,Flux_L2_median_per_s,Flux_L2_sd_per_s,Flux_L2_q25_per_s,Flux_L2_q75_per_s,N_Flux_Steps,Progress_0_to_1
MODULATION_DATASET,RAW_EEG,Channel,0,5,0,10,10,2025-10-09T15:29:48.822319984,2025-10-09T15:29:43.822319984,2025-10-09T15:29:53.822319984,Broadband_RAW,Fp1,EEG.Fp1,2.573668317,0.2387405478,2561,256,64,Binned Shannon entropy of the temporal amplitude distribution of RAW EEG voltage values; shared baseline/modulation histogram edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,7.128503409361724,3.6084741577905786,6.567226337264908,1.5560077258926046,13.68366072228034,80,0.0
MODULATION_DATASET,RAW_EEG,Channel,1,15,10,20,10,2025-10-09T15:29:58.822319984,2025-10-09T15:29:53.822319984,2025-10-09T15:30:03.822319984,Broadband_RAW,Fp1,EEG.Fp1,2.312242697,0.4201496754,2560,256,64,Binned Shannon entropy of the temporal amplitude distribution of RAW EEG voltage values; shared baseline/modulation histogram edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,8.47655811444902,4.9894685416443325,9.223392798377866,4.331722814837293,6.757085863327878,80,0.005555555555555556
MODULATION_DATASET,RAW_EEG,Channel,2,25,20,30,10,2025-10-09T15:30:08.822319984,2025-10-09T15:30:03.822319984,2025-10-09T15:30:13.822319984,Broadband_RAW,Fp1,EEG.Fp1,2.259489135,0.2255540363,2560,256,64,Binned Shannon entropy of the temporal amplitude distribution of RAW EEG voltage values; shared baseline/modulation histogram edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,9.288547067647276,5.973053346792758,7.652928445311867,2.4927940116533924,14.857334930128879,80,0.011111111111111112
MODULATION_DATASET,RAW_EEG,Channel,3,35,30,40,10,2025-10-09T15:30:18.822319984,2025-10-09T15:30:13.822319984,2025-10-09T15:30:23.822319984,Broadband_RAW,Fp1,EEG.Fp1,2.378844538,0.353810253,2560,256,64,Binned Shannon entropy of the temporal amplitude distribution of RAW EEG voltage values; shared baseline/modulation histogram edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,22.788665362557996,14.778952057820405,23.389375195148983,11.612978558606327,20.212928166288833,80,0.016666666666666666
MODULATION_DATASET,RAW_EEG,Channel,4,45,40,50,10,2025-10-09T15:30:28.822319984,2025-10-09T15:30:23.822319984,2025-10-09T15:30:33.822319984,Broadband_RAW,Fp1,EEG.Fp1,1.519761812,0.4376910044,2561,256,64,Binned Shannon entropy of the temporal amplitude distribution of RAW EEG voltage values; shared baseline/modulation histogram edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,16.04956523887982,12.118671518352073,10.88725824220411,8.621092224510699,19.291357493626577,80,0.022222222222222223
MODULATION_DATASET,RAW_EEG,Channel,5,55,50,60,10,2025-10-09T15:30:38.822319984,2025-10-09T15:30:33.822319984,2025-10-09T15:30:43.822319984,Broadband_RAW,Fp1,EEG.Fp1,2.519514129,0.3184292277,2560,256,64,Binned Shannon entropy of the temporal amplitude distribution of RAW EEG voltage values; shared baseline/modulation histogram edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,16.407017831530773,14.429111649654697,10.797975834357844,5.478363694128048,20.807598862389476,80,0.027777777777777776
MODULATION_DATASET,RAW_EEG,Channel,6,65,60,70,10,2025-10-09T15:30:48.822319984,2025-10-09T15:30:43.822319984,2025-10-09T15:30:53.822319984,Broadband_RAW,Fp1,EEG.Fp1,3.372694289,0.2388219208,2560,256,64,Binned Shannon entropy of the temporal amplitude distribution of RAW EEG voltage values; shared baseline/modulation histogram edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,5.915698809662375,5.388584836362053,2.8316781727570004,3.7042445721179793,6.638729813422697,80,0.03333333333333333
MODULATION_DATASET,RAW_EEG,Channel,7,75,70,80,10,2025-10-09T15:30:58.822319984,2025-10-09T15:30:53.822319984,2025-10-09T15:31:03.822319984,Broadband_RAW,Fp1,EEG.Fp1,3.662636323,0.3095839713,2560,256,64,Binned Shannon entropy of the temporal amplitude distribution of RAW EEG voltage values; shared baseline/modulation histogram edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,4.298965225428654,4.722635341739483,2.466080416178994,1.239935535828844,5.727339197239388,80,0.03888888888888889
MODULATION_DATASET,RAW_EEG,Channel,8,85,80,90,10,2025-10-09T15:31:08.822319984,2025-10-09T15:31:03.822319984,2025-10-09T15:31:13.822319984,Broadband_RAW,Fp1,EEG.Fp1,1.60797115,0.5086022386,2560,256,64,Binned Shannon entropy of the temporal amplitude distribution of RAW EEG voltage values; shared baseline/modulation histogram edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,5.57930334776021,4.8429463189740245,3.000725515844112,3.614973658467151,6.351819396510303,80,0.044444444444444446
MODULATION_DATASET,RAW_EEG,Channel,9,95,90,100,10,2025-10-09T15:31:18.822319984,2025-10-09T15:31:13.822319984,2025-10-09T15:31:23.822319984,Broadband_RAW,Fp1,EEG.Fp1,2.64019145,0.01326336377,2561,256,64,Binned Shannon entropy of the temporal amplitude distribution of RAW EEG voltage values; shared baseline/modulation histogram edges,c(n)*log2(n)/n,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n,Script18_Regionalised_L2_Native,1.58297709566207,0.3452402312220454,2.5859638514126106,0.3400662024247002,0.3939299174086953,80,0.05
