Track,N_Matched,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,DeltaEntropy_Mean,DeltaEntropy_Median,DeltaEntropy_Q25,DeltaEntropy_Q75,DeltaLZC_Mean,DeltaLZC_Median,DeltaLZC_Q25,DeltaLZC_Q75,DeltaFlux_Mean,DeltaFlux_Median,DeltaFlux_Q25,DeltaFlux_Q75,Corr_DeltaEntropy_DeltaLZC,Corr_DeltaEntropy_DeltaFlux,Corr_DeltaLZC_DeltaFlux,N_Hplus_LZCminus_Fluxplus,N_Hplus_LZCminus_Fluxminus,Pct_Hplus_LZCminus,N_H-_LZC-_Flux-,N_H-_LZC-_Flux+,N_H-_LZC+_Flux-,N_H-_LZC+_Flux+,N_H+_LZC-_Flux-,N_H+_LZC-_Flux+,N_H+_LZC+_Flux-,N_H+_LZC+_Flux+,Band,Channel,Feature
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.7687249237138124,-0.7376068389999997,-1.1931211439999996,-0.331491481000008,0.009592636365193408,0.0,-0.07902410120000003,0.15804820239999706,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.1037149034337913,0.5383807041059241,0.08362139372613601,3,3,3.314917127071823,54,15,61,15,3,3,0,8,Alpha,C3,POW.C3.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.24167113309613228,-0.2567071810000141,-0.6503804469999999,0.20079680300000025,-4.1676707183675655e-06,0.0,-0.15804820239999384,0.07902410120000158,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.1144723102274458,0.6084659614197704,0.06273177575128594,14,18,17.679558011049725,47,5,45,9,18,14,11,15,Alpha,C4,POW.C4.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.7007557161690612,-0.6581000550000002,-1.2174878900000001,-0.0880874089999999,0.016124924350275942,0.0,-0.07902410120000003,0.15804820239999684,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.14707198155646561,0.6873945258970935,0.10635402936325047,12,5,9.392265193370166,46,6,55,9,5,12,3,13,Alpha,CP1,POW.CP1.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.36668226931325987,-0.39104365600000035,-0.8622964670000024,0.1777788869999899,0.0366741685110495,0.07902410119999959,-0.07902410119999997,0.15804820239999995,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.08455208401212869,0.7168568745570197,0.1684848323316478,13,7,11.049723756906078,34,1,66,6,7,13,9,18,Alpha,CP2,POW.CP2.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-1.1971760908917135,-1.126248318,-1.7241418139999998,-0.6852546749999999,0.023551245174585497,3.219646771412954e-15,-0.07902410120000003,0.15804820239999995,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.14885827908854807,0.46321142878506977,0.10603938380675285,1,2,1.6574585635359116,47,16,70,19,2,1,0,5,Alpha,CP5,POW.CP5.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.5832823423900554,-0.6194857790000001,-0.952263936,-0.15744972999999973,0.022270627122651945,0.0,-0.07902410119999997,0.07902410120000158,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.046928639690387686,0.6262757349303737,0.06589266717306849,11,3,7.734806629834254,45,8,55,9,3,11,5,10,Alpha,CP6,POW.CP6.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.8422879888955802,-0.8331447380000139,-1.205184043,-0.41942747299999983,-0.005247502269060723,0.0,-0.07902410120000003,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.1589689692368275,0.6062721780501501,0.09845591655145254,5,4,4.972375690607735,58,11,56,19,4,5,0,5,Alpha,Cz,POW.Cz.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.6190182942596687,-0.6469650099999997,-1.0163221290000064,-0.17278026000000013,0.00479840201767947,0.0,-0.07902410120000003,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.1425870127222736,0.6664202265857507,0.08780113518280187,9,11,11.049723756906078,45,7,58,10,11,9,1,13,Alpha,F3,POW.F3.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.13732830056906084,-0.13879253799999614,-0.5156784050000001,0.29931335599999986,-0.01134319301270714,0.0,-0.07902410120000003,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.14192969719719445,0.6101507289240773,0.12418281327315049,11,24,19.337016574585636,39,2,36,8,24,11,9,14,Alpha,F4,POW.F4.Alpha
POW_Feature,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.3847522379171271,-0.4580427949999999,-0.8131467490000004,0.08945538499999994,-0.00044076491325985436,0.0,-0.07902410120000003,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.06245227175118324,0.6639893887044305,0.11664905075425415,13,17,16.574585635359117,42,3,48,10,17,13,4,12,Alpha,F7,POW.F7.Alpha
