Representation,Level,Band,Channel,Feature,Window_Length_s,Entropy_Bins,Baseline_Median_Entropy_bits,Modulation_Median_Entropy_bits,Delta_Entropy_ModMinusBase_bits,Delta_Sign,Baseline_N_Valid_Windows,Modulation_N_Valid_Windows,Entropy_Definition
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,10,16,0.6402569437,0,-0.6402569437,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,10,32,1.417794294,0.9671988883,-0.450595406,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,10,64,2.211912075,1.646286575,-0.5656254996,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,30,16,0.6148108227,0.1686609315,-0.4461498912,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,30,32,1.524920428,1.03244092,-0.492479508,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,30,64,2.371442766,1.761866043,-0.6095767229,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,60,16,0.7048811022,0.2002074523,-0.5046736499,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,60,32,1.605368811,1.113695983,-0.4916728288,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,60,64,2.470763675,1.831008269,-0.6397554056,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,120,16,0.7000300481,0.2355653605,-0.4644646876,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,120,32,1.596480487,1.150488914,-0.4459915725,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,120,64,2.474696943,1.795119541,-0.6795774021,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Alpha,ALL_CHANNELS_MEDIAN,BandMedian.Alpha,10,16,2.38104496,1.932162142,-0.4488828176,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Alpha,ALL_CHANNELS_MEDIAN,BandMedian.Alpha,10,32,3.231663088,2.773256035,-0.4584070523,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Alpha,ALL_CHANNELS_MEDIAN,BandMedian.Alpha,10,64,4.029784159,3.636045591,-0.3937385677,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Alpha,ALL_CHANNELS_MEDIAN,BandMedian.Alpha,30,16,2.635652145,2.139220922,-0.4964312231,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
