Representation,Level,Band,Channel,Feature,Window_Length_s,Baseline_Median_LZC,Modulation_Median_LZC,Delta_LZC_ModMinusBase,Baseline_N_Windows,Modulation_N_Windows,Baseline_Sequence_Length_Min,Baseline_Sequence_Length_Median,Baseline_Sequence_Length_Max,Modulation_Sequence_Length_Min,Modulation_Sequence_Length_Median,Modulation_Sequence_Length_Max,Baseline_Distinct_LZC_Values,Modulation_Distinct_LZC_Values,LZC_Normalization
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,30,0.4941806622,0.4941806622,0,60,60,240,240,241,240,240,241,11,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,60,0.4639005519,0.501012596,0.03711204415,30,30,480,480,481,480,480,481,11,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,120,0.4747051744,0.4643854967,-0.0103196777,15,15,960,960,961,960,960,961,10,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,Alpha,ALL_CHANNELS_MEDIAN,BandMedian.Alpha,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,11,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,Alpha,ALL_CHANNELS_MEDIAN,BandMedian.Alpha,30,0.4612352847,0.4612352847,0,60,60,240,240,241,240,240,241,15,16,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,Alpha,ALL_CHANNELS_MEDIAN,BandMedian.Alpha,60,0.3989544746,0.4453445298,0.04639005519,30,30,480,480,481,480,480,481,15,14,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,Alpha,ALL_CHANNELS_MEDIAN,BandMedian.Alpha,120,0.3611887196,0.3921477527,0.03095903311,15,15,960,960,961,960,960,961,11,9,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,11,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,30,0.4941806622,0.5271260397,0.03294537748,60,60,240,240,241,240,240,241,13,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,60,0.4639005519,0.4731785629,0.009278011037,30,30,480,480,481,480,480,481,12,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,120,0.4643854967,0.4850248521,0.02063935541,15,15,960,960,961,960,960,961,11,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,10,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,30,0.4941806622,0.5435987284,0.04941806622,60,60,240,240,241,240,240,241,13,15,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,60,0.4639005519,0.501012596,0.03711204415,30,30,480,480,481,480,480,481,13,14,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,120,0.4437461413,0.4643854967,0.02063935541,15,15,960,960,961,960,960,961,10,8,c(n)*log2(n)/n; not assumed bounded 0..1
