Session,Representation,Level,Band,Channel,Feature,Window_Index,Window_Start_s,Window_End_s,N_Samples,Observed_LZC,Surrogate_LZC_Median,Surrogate_LZC_Mean,Surrogate_LZC_SD,Observed_to_MedianSurrogate_Ratio,Observed_vs_Surrogate_Z,Surrogate_Method,Surrogate_Iterations,Random_Seed
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,0,0,10,81,0.3130790125,0.7435626547,0.7239952164,0.08750824428,0.4210526316,-4.695742753,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,1,10,20,80,0.6321928095,0.6321928095,0.6598512449,0.08218426539,1,-0.3365417368,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,2,20,30,80,0.3160964047,0.6321928095,0.6045343741,0.1236922835,0.5,-2.331899462,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,3,30,40,80,0.7112169107,0.6321928095,0.6361440145,0.1040663863,1.125,0.7213942831,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,4,40,50,80,0.7902410119,0.7112169107,0.6796072702,0.09385343266,1.111111111,1.178792704,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,5,50,60,80,0.6321928095,0.6321928095,0.6479976297,0.09455123731,1,-0.167156144,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,6,60,70,80,0.5531687083,0.6321928095,0.6163879893,0.09796573251,0.875,-0.6453203516,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,7,70,80,80,0.6321928095,0.7112169107,0.7191193208,0.07648790497,0.8888888889,-1.136473948,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,8,80,90,80,0.5531687083,0.6717048601,0.667753655,0.1008586361,0.8235294118,-1.136094549,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,9,90,100,80,0.3160964047,0.7112169107,0.7072657056,0.113145294,0.4444444444,-3.457229964,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,10,100,110,80,0.4741446071,0.6321928095,0.6282416044,0.09754545716,0.75,-1.579745503,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,11,110,120,80,0.6321928095,0.6321928095,0.6519488348,0.1021538242,1,-0.1933948676,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,12,120,130,80,0.3160964047,0.6717048601,0.6519488348,0.09550239395,0.4705882353,-3.516691217,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,13,130,140,80,0.5531687083,0.869265113,0.869265113,0.105711497,0.6363636364,-2.990180006,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,14,140,150,80,0.6321928095,0.869265113,0.932484394,0.1322326132,0.7272727273,-2.270934358,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,15,150,160,80,0.4741446071,0.5531687083,0.5255102729,0.1096040129,0.8571428571,-0.4686476747,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,16,160,170,80,0.5531687083,0.5531687083,0.5729247336,0.05660894645,1,-0.3489912202,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,17,170,180,80,0.5531687083,0.6321928095,0.6479976297,0.06067248399,0.875,-1.562964217,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,18,180,190,80,0.5531687083,0.5926807589,0.6203391943,0.1065630863,0.9333333333,-0.6303354033,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,19,190,200,80,0.7112169107,0.7112169107,0.7033145006,0.08844458388,1,0.08934871727,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,20,200,210,80,0.6321928095,0.5531687083,0.596631964,0.1040663863,1.142857143,0.3417130815,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,21,210,220,80,0.6321928095,0.6321928095,0.6163879893,0.08732261984,1,0.1809934272,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,22,220,230,80,0.5531687083,0.7112169107,0.6914608854,0.1199145254,0.7777777778,-1.153256259,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,23,230,240,80,0.7112169107,0.7112169107,0.7191193208,0.09208578982,1,-0.08581573915,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,24,240,250,80,0.7112169107,0.7112169107,0.734924141,0.09279688756,1,-0.2554744128,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,25,250,260,80,0.7112169107,0.6717048601,0.6954120904,0.09455123731,1.058823529,0.167156144,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,26,260,270,80,0.5531687083,0.5926807589,0.5768759387,0.1090779707,0.9333333333,-0.2173420554,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,27,270,280,80,0.7112169107,0.7112169107,0.7072657056,0.1268408409,1,0.03115088982,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,28,280,290,80,0.7112169107,0.6321928095,0.6282416044,0.05999151423,1.125,1.383117384,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,29,290,300,80,0.6321928095,0.5531687083,0.5808271437,0.08218426539,1.142857143,0.6250060827,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,30,300,310,80,0.5531687083,0.6321928095,0.66380245,0.05378040897,0.875,-2.057138348,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,31,310,320,80,0.7112169107,0.7112169107,0.7112169107,0.1307327619,1,0,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,32,320,330,80,0.5531687083,0.5531687083,0.5255102729,0.08218426539,1,0.3365417368,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,33,330,340,80,0.4741446071,0.7507289613,0.7270217309,0.1012651619,0.6315789474,-2.497177894,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,34,340,350,80,0.5531687083,0.7112169107,0.730972936,0.09888405089,0.7777777778,-1.79810825,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,35,350,360,80,0.6321928095,0.7112169107,0.6756560651,0.1160138174,0.8888888889,-0.374638613,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,36,360,370,80,0.5531687083,0.6321928095,0.6796072702,0.09729242053,0.875,-1.299572579,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,37,370,380,80,0.4741446071,0.6321928095,0.6400952196,0.1054001222,0.75,-1.574482163,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,38,380,390,80,0.7902410119,0.6321928095,0.6914608854,0.1226248004,1.25,0.8055477043,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,39,390,400,80,0.3951205059,0.5531687083,0.5492175032,0.09754545716,0.7142857143,-1.579745503,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,40,400,410,80,0.6321928095,0.6321928095,0.6124367842,0.1199145254,1,0.1647508942,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,41,410,420,80,0.7112169107,0.6717048601,0.6559000398,0.1284501521,1.058823529,0.4306485427,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,42,420,430,80,0.7112169107,0.7112169107,0.6914608854,0.08056869224,1,0.2452072231,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,43,430,440,80,0.869265113,0.869265113,0.802094627,0.1154458149,1,0.5818356088,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,44,440,450,80,0.6321928095,0.6321928095,0.6361440145,0.09411571571,1,-0.04198241526,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,45,450,460,80,0.5531687083,0.6717048601,0.6796072702,0.1038292427,0.8235294118,-1.217754831,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,46,460,470,80,0.7112169107,0.7507289613,0.7704849866,0.09888405089,0.9473684211,-0.5993694165,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,47,470,480,80,0.4741446071,0.6321928095,0.6124367842,0.09550239395,0.75,-1.448049325,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,48,480,490,80,0.7112169107,0.7112169107,0.7151681157,0.1071781742,1,-0.03686576198,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,49,490,500,80,0.5531687083,0.7902410119,0.7823386017,0.09896711185,0.7,-2.315616665,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,50,500,510,80,0.5531687083,0.5531687083,0.5729247336,0.1021538242,1,-0.1933948676,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,51,510,520,80,0.6321928095,0.6321928095,0.66380245,0.09385343266,1,-0.3367979154,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,52,520,530,80,0.6321928095,0.6321928095,0.6242903994,0.09208578982,1,0.08581573915,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,53,530,540,80,0.7902410119,0.6321928095,0.6717048601,0.1072548122,1.25,1.105182596,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,54,540,550,80,0.6321928095,0.7902410119,0.7744361916,0.1044604293,0.8,-1.36169632,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,55,550,560,80,0.5531687083,0.6321928095,0.6361440145,0.05423682798,0.875,-1.529870188,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,56,560,570,80,0.5531687083,0.6321928095,0.6361440145,0.09411571571,0.875,-0.8816307205,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,57,570,580,80,0.5531687083,0.7112169107,0.6954120904,0.08347389811,0.7777777778,-1.704046239,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,58,580,590,80,0.7112169107,0.7112169107,0.6835584753,0.09341465778,1,0.296082393,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,59,590,600,80,0.5531687083,0.6321928095,0.6361440145,0.09411571571,0.875,-0.8816307205,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,60,600,610,80,0.6321928095,0.6321928095,0.6598512449,0.08982733447,1,-0.3079066698,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,61,610,620,80,0.6321928095,0.6321928095,0.6321928095,0.08503429293,1,1.305617988e-15,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,62,620,630,80,0.6321928095,0.6321928095,0.6163879893,0.09796573251,1,0.1613300879,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,63,630,640,80,0.5531687083,0.7112169107,0.730972936,0.1226248004,0.7777777778,-1.449985868,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,64,640,650,80,0.6321928095,0.7902410119,0.7704849866,0.09888405089,0.8,-1.398528639,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,65,650,660,80,0.4741446071,0.7507289613,0.7270217309,0.09796573251,0.6315789474,-2.581281406,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,66,660,670,80,0.7112169107,0.7112169107,0.7072657056,0.07463930996,1,0.05293732031,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,67,670,680,80,0.5531687083,0.7112169107,0.734924141,0.1177711701,0.7777777778,-1.543293088,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,68,680,690,80,0.6321928095,0.6321928095,0.6242903994,0.08067061346,1,0.09795896894,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,69,690,700,80,0.5531687083,0.6321928095,0.6756560651,0.07463930996,0.875,-1.64105693,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,70,700,710,80,0.3951205059,0.6321928095,0.6084855791,0.1090779707,0.625,-1.956078499,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,71,710,720,80,0.5531687083,0.6321928095,0.6124367842,0.09550239395,0.875,-0.6205925677,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,72,720,730,80,0.869265113,0.7902410119,0.7902410119,0.1202566503,1.1,0.6571287407,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,73,730,740,80,0.6321928095,0.5531687083,0.5689735285,0.1044604293,1.142857143,0.6051983644,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,74,740,750,80,0.5531687083,0.7112169107,0.7230705259,0.08982733447,0.7777777778,-1.891426686,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,75,750,760,80,0.6321928095,0.7507289613,0.7112169107,0.09593162036,0.8421052632,-0.823754471,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,76,760,770,80,0.6321928095,0.6321928095,0.6440464247,0.09341465778,1,-0.1268924541,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,77,770,780,80,0.6321928095,0.6321928095,0.6321928095,0.08881542233,1,1.250034054e-15,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,78,780,790,80,0.7112169107,0.6717048601,0.6875096803,0.1149465103,1.058823529,0.2062457598,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,79,790,800,80,0.7112169107,0.6321928095,0.6124367842,0.08835163106,1.125,1.118033989,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,80,800,810,80,0.5531687083,0.6321928095,0.6519488348,0.08056869224,0.875,-1.226036116,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,81,810,820,80,0.7112169107,0.6321928095,0.6559000398,0.1090779707,1.125,0.5071314627,phase_randomized,20,1906
