Session,Level,Band,N_Windows,Median_Observed_LZC,Median_Surrogate_LZC,Median_Observed_to_Surrogate_Ratio,Median_Surrogate_Z
BASELINE_EC,Band,Alpha,181,0.6321928095,0.6321928095,0.9,-0.5507251157
BASELINE_EC,Band,BetaH,181,0.6321928095,0.6321928095,0.9,-0.5718266725
BASELINE_EC,Band,BetaL,181,0.6321928095,0.6321928095,0.9473684211,-0.3841366627
BASELINE_EC,Band,Gamma,181,0.6321928095,0.7112169107,1,-0.3403728229
BASELINE_EC,Band,Theta,181,0.6321928095,0.6652929015,0.9333333333,-0.4755948656
MODULATION_DATASET,Band,Alpha,181,0.6321928095,0.6321928095,0.9,-0.5961069631
MODULATION_DATASET,Band,BetaH,181,0.6321928095,0.7112169107,0.9473684211,-0.3248931448
MODULATION_DATASET,Band,BetaL,181,0.6321928095,0.6717048601,0.9411764706,-0.4194352464
MODULATION_DATASET,Band,Gamma,181,0.6321928095,0.7112169107,0.9473684211,-0.3914406806
MODULATION_DATASET,Band,Theta,181,0.6321928095,0.7112169107,0.9411764706,-0.5016471494
