Session,Representation,Analysis_Level,Band,Channel,Feature,N_Windows,Whole_Record_Shannon_Entropy,Whole_Record_LZC_Normalized,Entropy_Mean,Entropy_Median,Entropy_SD,Entropy_Q25,Entropy_Q75,LZC_Mean,LZC_Median,LZC_SD,LZC_Q25,LZC_Q75,Window_Length_s,Sampling_Rate_Hz,Entropy_Bins,Entropy_Definition,LZC_Normalization,Whole_Record_LZC_Threshold,Window_LZC_Threshold,LZC_Definition
BASELINE_EC,POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,181,2.627926651,0.4032795064,2.22211443,2.211912075,0.4311333241,1.949913445,2.507710995,0.6094439084,0.6321928095,0.1097909646,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
BASELINE_EC,POW,Band,Alpha,ALL_CHANNELS_MEDIAN,BandMedian.Alpha,181,4.848706619,0.3053130226,3.982914705,4.029784159,0.4979132496,3.649958086,4.385031727,0.5863000868,0.6321928095,0.1210095816,0.4741446071,0.6321928095,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
BASELINE_EC,POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,181,4.421369102,0.4023283755,3.831954125,3.844301965,0.3729230786,3.619790716,4.115468571,0.6221093962,0.6321928095,0.1136947141,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
BASELINE_EC,POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,181,4.849504182,0.3947193282,4.186008496,4.202890051,0.3239960902,3.993847331,4.424347315,0.6151196726,0.6321928095,0.1170630629,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
BASELINE_EC,POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,181,4.292880566,0.4517871829,3.750275752,3.793019347,0.3558947154,3.567005484,3.96212599,0.6500224461,0.6321928095,0.1223061553,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
BASELINE_EC,POW,Feature,Theta,Cz,POW.Cz.Theta,181,3.646712403,0.4013772446,3.201688895,3.224754325,0.3942979077,2.943541385,3.49894268,0.6155395992,0.6321928095,0.1183383959,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
BASELINE_EC,POW,Feature,Alpha,Cz,POW.Cz.Alpha,181,4.644387382,0.3519184372,3.922316903,3.928938214,0.5064151892,3.57054418,4.265414436,0.5945996021,0.5531687083,0.1097969524,0.5531687083,0.6321928095,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
BASELINE_EC,POW,Feature,BetaL,Cz,POW.Cz.BetaL,181,4.455858454,0.3985238519,3.87735081,3.903951455,0.3653095281,3.602689896,4.124993104,0.590229462,0.5531687083,0.1119545356,0.4741446071,0.6321928095,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
BASELINE_EC,POW,Feature,BetaH,Cz,POW.Cz.BetaH,181,4.626481963,0.3785501027,3.990486724,4.002166846,0.3512866182,3.788662903,4.231434851,0.6063877277,0.6321928095,0.1145386839,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
BASELINE_EC,POW,Feature,Gamma,Cz,POW.Cz.Gamma,181,4.428149066,0.4223021247,3.878707,3.889711066,0.3466540312,3.679119374,4.054426965,0.6103004322,0.6321928095,0.1044023326,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
