Session,Representation,Analysis_Level,Band,Channel,Feature,N_Windows,Whole_Record_Shannon_Entropy,Whole_Record_LZC_Normalized,Entropy_Mean,Entropy_Median,Entropy_SD,Entropy_Q25,Entropy_Q75,LZC_Mean,LZC_Median,LZC_SD,LZC_Q25,LZC_Q75,Window_Length_s,Sampling_Rate_Hz,Entropy_Bins,Entropy_Definition,LZC_Normalization,Whole_Record_LZC_Threshold,Window_LZC_Threshold,LZC_Definition
MODULATION_DATASET,POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,181,2.117548291,0.3814034955,1.631779846,1.646286575,0.4574773773,1.360746356,1.905424412,0.6421678634,0.6321928095,0.111753183,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
MODULATION_DATASET,POW,Band,Alpha,ALL_CHANNELS_MEDIAN,BandMedian.Alpha,181,4.363844967,0.353820699,3.581203808,3.636045591,0.5267623292,3.39226802,3.872661604,0.5937305753,0.6321928095,0.1319255375,0.4741446071,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
MODULATION_DATASET,POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,181,3.883298234,0.4004261137,3.249110464,3.290488214,0.4584326721,2.988706162,3.542743993,0.6382468235,0.6321928095,0.1272947634,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
MODULATION_DATASET,POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,181,4.493132084,0.3956704591,3.715088354,3.75125848,0.3952036455,3.525446836,3.957483014,0.6579020349,0.6321928095,0.1241499286,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
MODULATION_DATASET,POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,181,3.928661148,0.3918659355,3.204712403,3.203228249,0.415413409,2.896426487,3.492616973,0.6640102286,0.6321928095,0.132226383,0.626158025,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
MODULATION_DATASET,POW,Feature,Theta,Cz,POW.Cz.Theta,181,3.020425758,0.3871102809,2.50594469,2.565820009,0.5331440642,2.123510074,2.915883988,0.6177225854,0.6321928095,0.1011788056,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
MODULATION_DATASET,POW,Feature,Alpha,Cz,POW.Cz.Alpha,181,3.67079963,0.3871102809,3.080028914,3.127287522,0.5386672748,2.81855892,3.46064528,0.5893520999,0.5531687083,0.1103786965,0.5531687083,0.6321928095,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
MODULATION_DATASET,POW,Feature,BetaL,Cz,POW.Cz.BetaL,181,3.862289484,0.397572721,3.288911051,3.338101017,0.4926249524,3.025857451,3.615287537,0.6133607806,0.6321928095,0.1149469686,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
MODULATION_DATASET,POW,Feature,BetaH,Cz,POW.Cz.BetaH,181,4.130570046,0.3956704591,3.466837735,3.483327483,0.4885936324,3.212007452,3.756391551,0.6207829338,0.6321928095,0.1092707891,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
MODULATION_DATASET,POW,Feature,Gamma,Cz,POW.Cz.Gamma,181,3.543560053,0.3928170664,2.987514748,2.986324929,0.4279661596,2.697892019,3.23260369,0.6124875861,0.6321928095,0.1033682729,0.5531687083,0.7112169107,10,8,64,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges,c(n)*log2(n)/n,whole-record median,within-window median,Median-binarised Kaspar-Schuster LZ76 complexity with asymptotic normalisation c(n)*log2(n)/n
