Session,Reference,Band,Channel,Baseline_Median_POW,Session_Median_POW,Fold_Change,Delta_log10,Jensen_Shannon_Distance,Valid_DeltaLog10_All_5_Bands,Valid_JSD_All_5_Bands
MODULATION_DATASET,BASELINE_EC,Theta,Cz,4.45846,2.7775905,0.6229932533,-0.2055166565,0.03632485443,True,True
MODULATION_DATASET,BASELINE_EC,Theta,Fz,2.962868,2.708058,0.9139988687,-0.03905434183,0.03659205147,True,True
MODULATION_DATASET,BASELINE_EC,Theta,Fp1,2.811625,2.1658615,0.7703237452,-0.1133267148,0.02983627888,True,True
MODULATION_DATASET,BASELINE_EC,Theta,F7,2.127779,1.29223,0.6073140115,-0.2165866991,0.04664661311,True,True
MODULATION_DATASET,BASELINE_EC,Theta,F3,2.9565025,1.7845735,0.6036096705,-0.2192438109,0.02177794367,True,True
MODULATION_DATASET,BASELINE_EC,Theta,FC1,1.978386,1.6946775,0.8565959828,-0.06722396666,0.01480964288,True,True
MODULATION_DATASET,BASELINE_EC,Theta,C3,1.7272415,1.0729745,0.6212069939,-0.2067636634,0.01530612296,True,True
MODULATION_DATASET,BASELINE_EC,Theta,FC5,1.811607373,0.918772,0.5071584571,-0.294856328,0.0397088159,True,True
MODULATION_DATASET,BASELINE_EC,Theta,FT9,1.3613245,1.0526075,0.7732230633,-0.1116952006,0.06046469141,True,True
MODULATION_DATASET,BASELINE_EC,Theta,T7,1.200649,0.3999885,0.3331435748,-0.4773685583,0.04927577484,True,True
MODULATION_DATASET,BASELINE_EC,Theta,CP5,1.4214865,0.627754,0.4416179823,-0.3549532508,0.02202081885,True,True
MODULATION_DATASET,BASELINE_EC,Theta,CP1,1.527146,0.9596135,0.6283705029,-0.2017842099,0.01237511994,True,True
MODULATION_DATASET,BASELINE_EC,Theta,P3,1.720059398,1.011418,0.5880134145,-0.2306127661,0.03880037315,True,True
MODULATION_DATASET,BASELINE_EC,Theta,P7,0.755356,0.2891785,0.3828373641,-0.4169856826,0.02114865627,True,True
MODULATION_DATASET,BASELINE_EC,Theta,PO9,0.8876925,0.718319,0.8091980049,-0.09194519664,0.05365891411,True,True
MODULATION_DATASET,BASELINE_EC,Theta,O1,1.884959,1.1034875,0.5854172425,-0.2325344903,0.05655304348,True,True
MODULATION_DATASET,BASELINE_EC,Theta,Pz,1.6157665,1.1842635,0.732942229,-0.1349302554,0.01114255952,True,True
MODULATION_DATASET,BASELINE_EC,Theta,Oz,1.99853,1.278094762,0.6395174261,-0.194147617,0.04826667019,True,True
MODULATION_DATASET,BASELINE_EC,Theta,O2,2.098067,1.4157955,0.6748094794,-0.1708188253,0.03780914196,True,True
MODULATION_DATASET,BASELINE_EC,Theta,PO10,2.0245995,1.646554,0.8132739339,-0.08976314696,0.0513490136,True,True
MODULATION_DATASET,BASELINE_EC,Theta,P8,3.0206195,2.3096375,0.76462378,-0.1165521994,0.06529275561,True,True
MODULATION_DATASET,BASELINE_EC,Theta,P4,1.8853475,1.7149615,0.9096262095,-0.04113703461,0.01901803937,True,True
MODULATION_DATASET,BASELINE_EC,Theta,CP2,1.553967,1.4372915,0.9249176463,-0.03389693469,0.02936036101,True,True
MODULATION_DATASET,BASELINE_EC,Theta,CP6,3.074072841,2.470613,0.803693708,-0.09490943167,0.03372770997,True,True
MODULATION_DATASET,BASELINE_EC,Theta,T8,2.971273,2.1468465,0.7225342471,-0.1411415631,0.01270795361,True,True
MODULATION_DATASET,BASELINE_EC,Theta,FT10,2.357022,2.1010995,0.8914212511,-0.04991701676,0.02876911914,True,True
MODULATION_DATASET,BASELINE_EC,Theta,FC6,3.072299,2.23603,0.7278035113,-0.1379858535,0.02003943124,True,True
MODULATION_DATASET,BASELINE_EC,Theta,C4,2.7018625,2.493723,0.9229644366,-0.03481503278,0.02146796925,True,True
MODULATION_DATASET,BASELINE_EC,Theta,FC2,2.2501185,2.934208,1.304023766,0.1152855065,0.02091689502,True,True
MODULATION_DATASET,BASELINE_EC,Theta,F4,3.192897,2.6751315,0.837838333,-0.07683977355,0.03388741507,True,True
MODULATION_DATASET,BASELINE_EC,Theta,F8,3.3657175,2.4262815,0.7208809117,-0.1421364741,0.02663191266,True,True
MODULATION_DATASET,BASELINE_EC,Theta,Fp2,3.2086255,2.529862,0.7884566148,-0.1032221989,0.03138018793,True,True
