Channel,Jensen_Shannon_Distance,Valid_JSD_All_5_Bands,Valid_DeltaLog10_All_5_Bands
Cz,0.036324854431407434,True,True
Fz,0.036592051469143114,True,True
Fp1,0.029836278884503426,True,True
F7,0.04664661310984195,True,True
F3,0.021777943672751317,True,True
FC1,0.01480964287744296,True,True
C3,0.015306122961995685,True,True
FC5,0.039708815902724175,True,True
FT9,0.060464691405994433,True,True
T7,0.049275774842879205,True,True
CP5,0.02202081884756181,True,True
CP1,0.012375119942746492,True,True
P3,0.038800373154205654,True,True
P7,0.021148656274810183,True,True
PO9,0.05365891410633032,True,True
O1,0.056553043484705426,True,True
Pz,0.01114255951653669,True,True
Oz,0.04826667019093753,True,True
O2,0.03780914195917826,True,True
PO10,0.051349013602661815,True,True
P8,0.06529275561471845,True,True
P4,0.019018039367670242,True,True
CP2,0.02936036100959259,True,True
CP6,0.033727709971291445,True,True
T8,0.01270795360814856,True,True
FT10,0.02876911913582201,True,True
FC6,0.020039431244811553,True,True
C4,0.021467969253396436,True,True
FC2,0.020916895024854623,True,True
F4,0.03388741507146702,True,True
F8,0.026631912663703537,True,True
Fp2,0.031380187930603265,True,True
