Time,Band,dt_s,step_distance,velocity_per_s
2025-10-05 15:47:51.063610077,Theta,0.124780178,0.00840395901712554,0.06735011242831805
2025-10-05 15:47:51.188699961,Theta,0.125089884,0.004760998494001911,0.03806061962613948
2025-10-05 15:47:51.313689947,Theta,0.124989986,0.003488618075501826,0.0279111806245168
2025-10-05 15:47:51.438770056,Theta,0.125080109,0.004555283851439884,0.03641893093841071
2025-10-05 15:47:51.563560009,Theta,0.124789953,0.0060322232386652574,0.048339013627685695
2025-10-05 15:47:51.688640118,Theta,0.125080109,0.008402392786866164,0.06717609101912571
2025-10-05 15:47:51.813529968,Theta,0.12488985,0.007755755158614708,0.062100764462562075
2025-10-05 15:47:51.938620090,Theta,0.125090122,0.004839622001085453,0.03868908210902099
2025-10-05 15:47:52.063600063,Theta,0.124979973,0.003039871954768736,0.0243228725514986
2025-10-05 15:47:52.188689947,Theta,0.125089884,0.005924227614416022,0.047359765833790535
2025-10-05 15:47:52.313570023,Theta,0.124880076,0.007962988340733168,0.06376508243583362
2025-10-05 15:47:52.438659906,Theta,0.125089883,0.003136374509364659,0.025072967006969368
2025-10-05 15:47:52.563640118,Theta,0.124980212,0.00012422871813511094,0.000993987097214325
2025-10-05 15:47:52.688730001,Theta,0.125089883,0.00012041657593853117,0.0009626404074463093
2025-10-05 15:47:52.813610077,Theta,0.124880076,0.00011604827485844904,0.0009292777404976037
2025-10-05 15:47:52.938699961,Theta,0.125089884,0.00011251960259350824,0.0008995100082873866
2025-10-05 15:47:53.063590049,Theta,0.124890088,0.00010832029729079817,0.0008673250137416685
2025-10-05 15:47:53.188669920,Theta,0.125079871,0.00010487122288926898,0.0008384340505857171
2025-10-05 15:47:53.313560009,Theta,0.124890089,0.00010086471722869916,0.0008076278753288355
2025-10-05 15:47:53.438750029,Theta,0.12519002,9.772563006293922e-05,0.0007806183756735497
2025-10-05 15:47:53.563529968,Theta,0.124779939,9.3574700562149e-05,0.0007499178258305528
2025-10-05 15:47:53.688620090,Theta,0.125090122,9.060330647758796e-05,0.000724304245842753
2025-10-05 15:47:53.813509941,Theta,0.124889851,8.697855865436033e-05,0.0006964421685022294
2025-10-05 15:47:53.938590050,Theta,0.125080109,8.399382449753023e-05,0.0006715202374626188
2025-10-05 15:47:54.063580036,Theta,0.124989986,8.072236596801119e-05,0.0006458306665304466
2025-10-05 15:47:54.188659906,Theta,0.12507987,7.778045856410287e-05,0.0006218463335795189
2025-10-05 15:47:54.313549995,Theta,0.124890089,7.459384229779875e-05,0.0005972759159279544
2025-10-05 15:47:54.438640118,Theta,0.125090123,7.1969503166458e-05,0.000575341213522174
2025-10-05 15:47:54.563519955,Theta,0.124879837,6.896990636628964e-05,0.0005522901696795908
2025-10-05 15:47:54.688610077,Theta,0.125090122,6.653055186112145e-05,0.0005318609559044274
2025-10-05 15:47:54.813499928,Theta,0.124889851,6.374804746511753e-05,0.0005104341702282721
2025-10-05 15:47:54.938580036,Theta,0.125080108,6.145759022280206e-05,0.0004913458359246225
2025-10-05 15:47:55.063469887,Theta,0.124889851,5.888402028697559e-05,0.0004714876334264791
2025-10-05 15:47:55.188549995,Theta,0.125080108,5.675846633290682e-05,0.0004537769213703175
2025-10-05 15:47:55.313440084,Theta,0.124890089,5.437464045154883e-05,0.00043537994797608663
2025-10-05 15:47:55.438529968,Theta,0.125089884,5.2414806588463314e-05,0.00041901714920819104
2025-10-05 15:47:55.563410044,Theta,0.124880076,5.019458191757309e-05,0.0004019422755442036
2025-10-05 15:47:55.688499928,Theta,0.125089884,4.83920781804148e-05,0.0003868584463665726
2025-10-05 15:47:55.813689947,Theta,0.125190019,4.6570652732502715e-05,0.0003719997257329493
2025-10-05 15:47:55.938770056,Theta,0.125080109,4.466883897169538e-05,0.0003571218423841906
2025-10-05 15:47:56.063460112,Theta,0.124690056,4.2657876647589354e-05,0.0003421112959287576
2025-10-05 15:47:56.188549995,Theta,0.125089883,4.12581818042268e-05,0.00032982828678660445
2025-10-05 15:47:56.313430071,Theta,0.124880076,3.951822108028136e-05,0.0003164493676339639
2025-10-05 15:47:56.438519955,Theta,0.125089884,3.8109601774194424e-05,0.00030465774334073587
2025-10-05 15:47:56.563400030,Theta,0.124880075,3.6508444459348866e-05,0.0002923480343789741
2025-10-05 15:47:56.688489914,Theta,0.125089884,3.5213641865206036e-05,0.0002815067113277204
2025-10-05 15:47:56.813369989,Theta,0.124880075,3.3741067622994336e-05,0.0002701877591200545
2025-10-05 15:47:56.938460112,Theta,0.125090123,3.255178721606189e-05,0.00026022667845695453
2025-10-05 15:47:57.063250064,Theta,0.124789952,3.115330323444354e-05,0.0002496459268967708
2025-10-05 15:47:57.188339949,Theta,0.125089885,3.010664836922139e-05,0.0002406801186940206
2025-10-05 15:47:57.313119888,Theta,0.124779939,2.8816502207540395e-05,0.0002309385822631344
2025-10-05 15:47:57.438210011,Theta,0.125090123,2.7860847745087014e-05,0.00022272619993416278
2025-10-05 15:47:57.563090086,Theta,0.124880075,2.671712273949467e-05,0.00021394223809918973
2025-10-05 15:47:57.688189983,Theta,0.125099897,2.5801180450146788e-05,0.00020624461785245747
2025-10-05 15:47:57.813280106,Theta,0.125090123,2.4828469843862777e-05,0.00019848465449076884
2025-10-05 15:47:57.938100100,Theta,0.124819994,2.3798027811716693e-05,0.00019065878028897112
2025-10-05 15:47:58.062910079,Theta,0.124809979,2.29103759048499e-05,0.00018356205239686724
2025-10-05 15:47:58.187999964,Theta,0.125089885,2.216136689425774e-05,0.00017716354039543436
2025-10-05 15:47:58.312890053,Theta,0.124890089,2.127640675297915e-05,0.0001703610504511623
2025-10-05 15:47:58.438090086,Theta,0.125200033,2.0597414619683008e-05,0.00016451604784866957
2025-10-05 15:47:58.562979937,Theta,0.124889851,1.9746909111884037e-05,0.00015811460221762966
2025-10-05 15:47:58.688060045,Theta,0.125080108,1.9087582072252474e-05,0.00015260285889945406
2025-10-05 15:47:58.812849998,Theta,0.124789953,1.8312649806451198e-05,0.0001467477899158372
2025-10-05 15:47:58.937849998,Theta,0.125,1.7714022779391492e-05,0.00014171218223513193
2025-10-05 15:47:59.062829971,Theta,0.124979973,1.7074752727497255e-05,0.0001366199105155612
2025-10-05 15:47:59.187920094,Theta,0.125090123,1.649583860674486e-05,0.00013187163151758084
2025-10-05 15:47:59.313009977,Theta,0.125089883,1.591128734290681e-05,0.00012719883464042258
2025-10-05 15:47:59.438090086,Theta,0.125080109,1.534814448189703e-05,0.00012270651668441567
2025-10-05 15:47:59.562880039,Theta,0.124789953,0.008023448799293398,0.06429563122997088
2025-10-05 15:47:59.688070059,Theta,0.12519002,0.0017051218175948568,0.013620269551796993
2025-10-05 15:47:59.812949896,Theta,0.124879837,0.002954357239728589,0.02365760006340006
2025-10-05 15:47:59.938139915,Theta,0.125190019,0.006150772414264316,0.049131491978320695
2025-10-05 15:48:00.062930107,Theta,0.124790192,0.008360723121799585,0.06699823910680083
2025-10-05 15:48:00.188420057,Theta,0.12548995,0.008255617478498123,0.06578708078613565
2025-10-05 15:48:00.313100100,Theta,0.124680043,0.006941358843526424,0.05567337543769073
2025-10-05 15:48:00.438189983,Theta,0.125089883,0.004211539621290616,0.03366810744631215
2025-10-05 15:48:00.562979937,Theta,0.124789954,0.0026137927649890758,0.020945538332268924
2025-10-05 15:48:00.688070059,Theta,0.125090122,0.002405583960811919,0.019230806736377785
2025-10-05 15:48:00.812849998,Theta,0.124779939,0.003036705046769339,0.024336484463014035
2025-10-05 15:48:00.937939882,Theta,0.125089884,0.004121679694745084,0.03294974431941342
2025-10-05 15:48:01.062829971,Theta,0.124890089,0.004270389282545972,0.03419317991314725
2025-10-05 15:48:01.188119888,Theta,0.125289917,0.0038126101151433334,0.03043030282431533
2025-10-05 15:48:01.312999964,Theta,0.124880076,0.004052256703131363,0.03244918511365546
2025-10-05 15:48:01.438189983,Theta,0.125190019,0.004790276502719348,0.03826404485743666
2025-10-05 15:48:01.562969923,Theta,0.12477994,0.0045493906665232675,0.03645931122040343
