Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,Fz,0.7309142313628555
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,Fp1,0.4055782200471931
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,F7,0.39981651229647086
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,F3,0.6144199064982521
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FC1,0.7994958739529122
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,C3,0.42329032394381405
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FC5,0.7045059585470667
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FT9,0.22251939765468706
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,T7,0.5733800018558172
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,CP5,0.1525974644893135
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,CP1,0.027097248544351218
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,P3,0.023484736459323016
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,P7,0.006800282266462152
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,PO9,0.021379417775692078
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,O1,0.0037044804637695813
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,Pz,0.023617383339945366
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,Oz,0.005129104447863828
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,O2,0.00889385246521305
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,PO10,0.03236288153358307
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,P8,0.031288515785592635
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,P4,0.026364604602736666
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,CP2,0.03558915703521239
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,CP6,0.10889143762833921
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,T8,0.15667110131115516
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FT10,0.12643783688401408
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FC6,0.4806229837651349
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,C4,0.5496291861799397
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FC2,0.7883443918771832
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,F4,0.5416943734104698
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,F8,0.25768025607435935
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,Fp2,0.3490365216523161
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,Fp1,0.7788532797844319
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,F7,0.7558671504795256
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,F3,0.931989379734874
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,FC1,0.7390683128034347
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,C3,0.23888404661653312
