Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,Fz,0.7620135234783265
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,Fp1,0.2143937884643761
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,F7,0.2904607388416277
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,F3,0.6045561473666439
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,FC1,0.8018115765255011
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,C3,0.6418503948437201
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,FC5,0.631981136748985
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,FT9,0.11891954514976075
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,T7,0.5763852340517642
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,CP5,0.4111151047556247
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,CP1,0.3609880831846761
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,P3,0.3174350014380632
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,P7,0.1061463208012172
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,PO9,0.1699100372220847
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,O1,0.09274304095073446
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,Pz,0.3309051532595118
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,Oz,0.14393247937805786
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,O2,0.08563652143593256
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,PO10,0.016185923431302176
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,P8,0.019251668954088464
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,P4,0.32265832097876124
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,CP2,0.3913533054940306
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,CP6,0.1600652522489815
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,T8,0.1742700897600319
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,FT10,0.08990769492052034
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,FC6,0.4569312547703698
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,C4,0.5026918709019706
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,FC2,0.7174295554858007
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,F4,0.5031199951815204
