Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,Fz,0.8071717772150572
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,Fp1,0.5497102967075771
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,F7,0.5642567106414702
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,F3,0.7661303469070423
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FC1,0.8075752188772363
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,C3,0.5973061467261047
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FC5,0.7052262833843291
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FT9,0.38703223005249615
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,T7,0.5911544288310869
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,CP5,0.26960081772703404
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,CP1,0.21656193300520865
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,P3,0.14916459346373925
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,P7,0.06459728161400284
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,PO9,0.030800609493273422
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,O1,0.04140733751740898
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,Pz,0.19993915859183356
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,Oz,0.08117143733587588
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,O2,0.054775892449939696
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,PO10,0.061403825985894195
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,P8,0.03277847977584097
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,P4,0.21320547892556946
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,CP2,0.25135214702211983
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,CP6,0.26954478640398727
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,T8,0.36055116147909716
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FT10,0.2502464815854537
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FC6,0.6580333670199477
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,C4,0.5634915987391741
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FC2,0.826529392093848
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,F4,0.704767567019505
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,F8,0.4494518441296884
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,Fp2,0.5321036003316414
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Fz,Fp1,0.7457641509425401
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Fz,F7,0.7249675461709161
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Fz,F3,0.914255954551135
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Fz,FC1,0.8593905519280269
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Fz,C3,0.5582813179916608
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,Fz,FC5,0.7965226538550066
