Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,Fz,0.587663516615899
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,Fp1,0.27835866496532685
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,F7,0.41959665916677513
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,F3,0.6815741128492391
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FC1,0.7223570625919742
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,C3,0.39467934094170737
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FC5,0.4991686746736459
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FT9,0.2492233677511295
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,T7,0.3357290984964424
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,CP5,0.46287133590612783
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,CP1,0.46756662158791856
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,P3,0.4593843491029839
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,P7,0.14952160659649194
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,PO9,0.16253330298298502
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,O1,0.17060041893557837
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,Pz,0.40457283203950706
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,Oz,0.3231846067603554
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,O2,0.29687330203688944
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,PO10,0.14953990405602646
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,P8,0.14334562638867954
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,P4,0.4306535658131358
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,CP2,0.4623648337500313
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,CP6,0.4281798964677884
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,T8,0.10314964134460167
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FT10,0.15618700086407744
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FC6,0.5353054231151819
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,C4,0.49102039335865993
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FC2,0.3417378996368105
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,F4,0.2718864716259761
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,F8,0.20677519839348069
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,Fp2,0.25428817319189195
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,Fp1,0.38546037966798513
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,F7,0.5546988994978771
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,F3,0.7596333632038427
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,FC1,0.6851898597785214
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,C3,0.36783810131011835
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,FC5,0.5573226628331919
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,FT9,0.36283143704768706
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,T7,0.40722893616959793
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,CP5,0.4455130504325192
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,CP1,0.39426457733170234
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,P3,0.38205838996578473
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,P7,0.24403911643128906
