Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,Fz,0.33006646996297095
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,Fp1,0.0766927380294454
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,F7,0.01077539112447032
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,F3,0.09197253709586092
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FC1,0.19920152806269445
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,C3,0.1486658618282889
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FC5,0.06766759132505208
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FT9,0.013290532537569965
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,T7,0.06227733577169641
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,CP5,0.045370953910905815
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,CP1,0.05863123294200965
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,P3,0.04777291157741153
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,P7,0.013601206468194321
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,PO9,0.017713885137379908
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,O1,0.017845908056772327
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,Pz,0.06656860448883496
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,Oz,0.02378211839799579
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,O2,0.017673968637124324
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,PO10,0.05850836510228126
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,P8,0.07215082425648695
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,P4,0.11442824694362996
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,CP2,0.0911425045313276
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,CP6,0.0741497353842155
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,T8,0.04367411000181748
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FT10,0.07658395775422719
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FC6,0.07709355187783218
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,C4,0.08542655633568225
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FC2,0.45177839097288697
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,F4,0.043865353725541685
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,F8,0.02298815104909966
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,Fp2,0.030643656611422807
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,Fp1,0.2355352803998927
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,F7,0.06689109301310546
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,F3,0.34030949895189583
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,FC1,0.4605748363184748
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,C3,0.15901244551535387
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,FC5,0.17737156537610407
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,FT9,0.05892341534819296
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,T7,0.17275020774820746
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,CP5,0.10697787731619418
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,CP1,0.05969023111485834
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,P3,0.07203012208474757
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,P7,0.04870967733451212
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,PO9,0.008529836072969997
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,O1,0.01626075390669364
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,Pz,0.07207696172262547
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,Oz,0.05570197749170431
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,O2,0.02396110289498725
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,PO10,0.021065482175079128
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,P8,0.022721937703502833
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,P4,0.1390025742692925
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,CP2,0.09812282045101228
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,CP6,0.06446419999827685
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,T8,0.20173307617519962
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,FT10,0.11639835477728978
