Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,Fp2,0.8363012377988526
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,F7,0.7496954707600643
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,F3,0.7540984601974725
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,Fz,0.6661949008028686
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,F4,0.6140468640655627
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,F8,0.529226977310153
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,FC1,0.6061579986725265
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,FC2,0.5817378399603975
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,FC5,0.6330470697159687
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,FC6,0.5729416221729073
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,C3,0.4874918586654554
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,Cz,0.49512744592190994
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,C4,0.4742122274812874
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,FT9,0.38063789648110924
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,FT10,0.33584903260647136
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,T7,0.513816693608276
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,T8,0.3794588514474603
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,CP1,0.3128663592204524
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,CP2,0.3330706057060113
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,CP5,0.3360247075791979
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,CP6,0.3293228418384452
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,P3,0.2701018623825018
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,Pz,0.3044111813340895
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,P4,0.30688362427387533
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,P7,0.02486440986834911
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,P8,0.13513584664622008
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,O1,0.16579339896198153
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,Oz,0.19667007353517824
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,O2,0.19647249947407958
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,PO9,0.03155519166607438
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp1,PO10,0.13724051542192164
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,F7,0.612619810983144
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,F3,0.6995096406248993
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,Fz,0.6908925547570894
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,F4,0.7033303178709286
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,F8,0.7002439876378038
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,FC1,0.611045561190674
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,FC2,0.6368952133301333
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,FC5,0.5646574902083743
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,FC6,0.6963651766219724
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,C3,0.47197730867926735
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,Cz,0.5136990804688082
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,C4,0.5482956798601757
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,FT9,0.296605280546811
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,FT10,0.4739925091703433
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,T7,0.4503147388619904
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,T8,0.5036950528437031
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,CP1,0.3374462524560749
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,CP2,0.36477483699304736
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,CP5,0.307594373286804
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,CP6,0.41546782160337
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,P3,0.282543992735082
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,Pz,0.33019618084523544
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,P4,0.34097743239374545
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,P7,0.023946327755526034
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,P8,0.18337103586693337
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,O1,0.18471519313499224
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,Oz,0.2213453450679763
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,O2,0.22487742757847495
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,PO9,0.049501298581896
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,Fp2,PO10,0.1784478016138777
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,F7,F3,0.7420298451991396
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,F7,Fz,0.6050814683940785
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,F7,F4,0.520025679593638
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,F7,F8,0.4004931510269081
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,F7,FC1,0.5970588860519708
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,F7,FC2,0.5264088122318908
