Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,Fp2,0.8524999765028727
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,F7,0.784593892641082
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,F3,0.8051345789340972
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,Fz,0.7480576763239876
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,F4,0.73314156120048
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,F8,0.6457390554726044
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,FC1,0.693513357739443
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,FC2,0.693890031075898
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,FC5,0.7211418271317482
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,FC6,0.6720974330549148
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,C3,0.6155418406721469
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,Cz,0.5984472901236334
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,C4,0.6013237072367775
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,FT9,0.5711606090229611
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,FT10,0.5034046999105576
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,T7,0.6452998560835526
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,T8,0.5364974361793037
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,CP1,0.45209889189985897
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,CP2,0.4718598320853069
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,CP5,0.49189040473404694
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,CP6,0.4699212811021779
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,P3,0.4202647406570325
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,Pz,0.4407544121373047
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,P4,0.452435628108143
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,P7,0.11561141816217935
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,P8,0.2878852816336504
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,O1,0.31639882519725127
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,Oz,0.33634582515458933
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,O2,0.3307040896230601
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,PO9,0.10709312305919393
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp1,PO10,0.27225521859699525
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,F7,0.6713609845975945
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,F3,0.7442507345611385
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,Fz,0.753754281487985
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,F4,0.8008701082866669
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,F8,0.7708038630155913
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,FC1,0.6841055929052682
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,FC2,0.7275823623489307
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,FC5,0.6555457608079727
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,FC6,0.7579640963497627
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,C3,0.5946405159009285
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,Cz,0.6043197786980276
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,C4,0.6529069854007877
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,FT9,0.4917255919213778
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,FT10,0.612748550612279
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,T7,0.5833701359107566
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,T8,0.6347538614447412
