Dataset,Metric,Band,Envelope_Band,N_Edges,Mean,Median,SD,Min,P10,P25,P75,P90,Max
BASELINE_EC,Raw EEG Band-Limited Coherence,Alpha,,496,0.4185382523397904,0.3665437189020525,0.27931174591502905,0.047792062465627755,0.1117761542828729,0.15643464505608234,0.6461102258544322,0.8471922792635412,0.9868018334122184
BASELINE_EC,Raw EEG Band-Limited Coherence,BetaH,,496,0.39068665941804864,0.3751519677682064,0.25207866648501276,0.011182685357310335,0.07235120179134585,0.15772695006254134,0.5875844169278912,0.7694568641382012,0.9515397934932762
BASELINE_EC,Raw EEG Band-Limited Coherence,BetaL,,496,0.4460311325681113,0.43044762012601434,0.27059539916694314,0.0033808536735337722,0.0833343208829711,0.2028714766846818,0.6743398219698837,0.8271880876905611,0.9645943904661538
BASELINE_EC,Raw EEG Band-Limited Coherence,Gamma,,496,0.2632467195748682,0.24489033271097493,0.1570015484254734,0.018485523930913975,0.07639090042695793,0.14454960604598044,0.37204623295692896,0.4691956384510052,0.7217167001980747
BASELINE_EC,Raw EEG Band-Limited Coherence,Theta,,496,0.46423567422342066,0.46710449927613906,0.23576591465740948,0.005675487381730567,0.13815023528921427,0.2774210181042706,0.6500707360883968,0.7903340692481086,0.9410884144214058
BASELINE_EC,Raw EEG Phase-Locking Value,Alpha,,496,0.5088748340399815,0.5064421286195881,0.25572469831445016,0.06909106341336735,0.19245927963616988,0.2511919354499656,0.7237272723696825,0.8672167475167184,0.9837580224068072
BASELINE_EC,Raw EEG Phase-Locking Value,BetaH,,496,0.5029789930721594,0.5178707798104052,0.22550641941192748,0.021491202502382394,0.19273890701112928,0.3086576935694083,0.6771553044774749,0.8136602639428929,0.9514347713021128
BASELINE_EC,Raw EEG Phase-Locking Value,BetaL,,496,0.5316699721592447,0.5412719770527558,0.2270299738788156,0.006838285401723038,0.21816718561583753,0.35613825341989946,0.7107398874216727,0.8333691424472243,0.9492378745122706
BASELINE_EC,Raw EEG Phase-Locking Value,Gamma,,496,0.4167411907184316,0.4107717244008132,0.16014143001263112,0.08545319120159658,0.20791019676126588,0.29823898451519226,0.5367320016455692,0.6318888891047915,0.7886336035560779
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,496,0.5708677544854956,0.5865055317559553,0.20030022448900664,0.0295241496843452,0.29467687337913506,0.43398022791357865,0.7276468423893524,0.8358812127402044,0.9531704234560454
