Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,Fz,0.6282935643757218
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,Fp1,0.3055616314221294
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,F7,0.2638312673634272
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,F3,0.607106295479852
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FC1,0.8772790634494807
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,C3,0.4642976636727179
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FC5,0.5181475849302225
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FT9,0.024352016551628605
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,T7,0.11820205940045946
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,CP5,0.16789998637738776
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,CP1,0.10270033054108202
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,P3,0.013601390068803038
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,P7,0.005916059670541863
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,PO9,0.0712058038467534
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,O1,0.02713791574168845
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,Pz,0.08191042620669577
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,Oz,0.011639492621560853
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,O2,0.004516797803358525
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,PO10,0.0026032401490871026
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,P8,0.018189933521454957
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,P4,0.08871169711896454
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,CP2,0.24546016845240606
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,CP6,0.13552944716522358
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,T8,0.13947285930527709
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FT10,0.050867858335253376
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FC6,0.3720273051709253
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,C4,0.44961790450046313
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,FC2,0.756080178377811
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,F4,0.5114912795122669
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,F8,0.17348846122059405
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Cz,Fp2,0.29197862200763874
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,Fp1,0.7471211006130603
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,F7,0.6421425487519735
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,F3,0.9351570639045449
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,FC1,0.7880635779083044
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,C3,0.22126406831905052
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,FC5,0.634515816103855
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,FT9,0.15792833074824297
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,T7,0.19634227098729876
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,CP5,0.05346582395300493
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,CP1,0.012667200047370108
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,P3,0.010025664483151696
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,P7,0.04124856624899239
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,PO9,0.13305996829712877
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,O1,0.039022796787679476
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,Pz,0.014105368992951789
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,Oz,0.02693486433345158
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,O2,0.020084719012834814
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,PO10,0.003943289942267437
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,Fz,P8,0.009349515324328475
