Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,Fz,0.49015439892412793
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,Fp1,0.16383239947175865
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,F7,0.140062447720123
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,F3,0.327166832687803
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,FC1,0.6265826797247306
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,C3,0.2749576899947707
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,FC5,0.1690970181506091
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,FT9,0.030517396752829527
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,T7,0.07143908183835439
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,CP5,0.09085503912788427
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,CP1,0.23400601571709922
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,P3,0.0829080998663152
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,P7,0.014878397543670424
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,PO9,0.017179281848445367
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,O1,0.027033173398702495
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,Pz,0.2474620281508586
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,Oz,0.02476487738026659
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,O2,0.015217047235331361
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,PO10,0.04036262848034078
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,P8,0.05683743048468621
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,P4,0.18504502079991958
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,CP2,0.37778845445732434
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,CP6,0.17303118168024012
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,T8,0.15729261118136567
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,FT10,0.06905952211757874
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,Cz,FC6,0.2794764302028242
