Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,Fz,0.6359284284774405
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,Fp1,0.2134119841792512
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,F7,0.1626915938006421
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,F3,0.5711164198547244
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FC1,0.7846580787954646
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,C3,0.3315550510614782
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FC5,0.29530562808038396
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FT9,0.03269459405930422
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,T7,0.0715511519740284
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,CP5,0.1262916307728283
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,CP1,0.1815324135236196
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,P3,0.04819628873838195
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,P7,0.02119627461121579
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,PO9,0.020106558152208708
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,O1,0.0029510058722944502
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,Pz,0.14664751161325432
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,Oz,0.004223312824215075
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,O2,0.00688981588826118
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,PO10,0.00898887620867775
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,P8,0.014021324684712278
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,P4,0.12442253711897058
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,CP2,0.2820478023050754
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,CP6,0.16008443847550485
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,T8,0.18995345531813765
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FT10,0.059847950863007475
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FC6,0.3849418455379477
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,C4,0.4201182161191466
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,Cz,FC2,0.7407901596703781
