Dataset,Metric,Band,Envelope_Band,N_Edges,Mean,Median,SD,Min,P10,P25,P75,P90,Max
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,Fast,496,0.2032753548726214,0.10513666830804774,0.23478072791524013,0.001992715690880841,0.015359217543272123,0.035405108981926545,0.290037244866366,0.6122631176059627,0.9353603639996048
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,Medium,496,0.20327890089358258,0.1051064010748951,0.234803538200445,0.0019923918181836506,0.015372039867705144,0.035418401523539825,0.29037816506736136,0.6122403211067688,0.9353614265222129
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,Slow,496,0.20421291798970462,0.1056527849525363,0.23522400508070324,0.001999438704081905,0.015934163104454946,0.03561513849118342,0.2923322634229297,0.6156692149547756,0.9360927698539533
MODULATION_DATASET,Band-Power Envelope Coherence,Alpha,UltraSlow,496,0.20079939426012303,0.09499402512265362,0.2378307346144191,0.0020760222326636113,0.011117190474741606,0.027131227673626673,0.29597123912186996,0.6068886776657303,0.9366810923708265
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,Fast,496,0.15367928540846665,0.08394608611931861,0.18059355380480074,0.002859480548789175,0.008371748972914306,0.020598026597002543,0.22316912978040435,0.40387159771881004,0.8137858022025074
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,Medium,496,0.15366159829939208,0.08391980013064738,0.1805954620257557,0.002860668725378099,0.008367549318386836,0.020598686818040175,0.22300668380065666,0.40384633714190715,0.8137312710445948
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,Slow,496,0.15434317064957162,0.08544185750219613,0.18072503938619922,0.0028611652598810365,0.00844298932871046,0.02093580791628795,0.22298923247241542,0.4054421272779994,0.8157385741547871
MODULATION_DATASET,Band-Power Envelope Coherence,BetaH,UltraSlow,496,0.1476841589954725,0.07161840026654094,0.18144639238152185,0.0019433182965427863,0.007013660205744728,0.019849355556255912,0.21266780815188108,0.4137006203101349,0.8177732258729177
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,Fast,496,0.16131195878041515,0.07820750704850202,0.20258402630107458,0.0022956179801406854,0.008605498055715394,0.022604309745745906,0.21267602695750187,0.46675021952402057,0.9003461994071523
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,Medium,496,0.1613094195819354,0.07815569059593927,0.20258468296303606,0.0022968385113992275,0.008598066650874018,0.02259764153098872,0.21270518873374156,0.46673900285420117,0.900334317944929
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,Slow,496,0.16158419426354273,0.0816855503990874,0.20248891542750047,0.002181277084633149,0.00887570484055468,0.02312410590139652,0.21447049120772427,0.4692746840418859,0.901004164155414
MODULATION_DATASET,Band-Power Envelope Coherence,BetaL,UltraSlow,496,0.15929150154899066,0.06305098647782251,0.20436259984155186,0.0023582748883218038,0.007738640523814797,0.019348801095306685,0.21749908995150152,0.4751097176206136,0.8955428081850509
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,Fast,496,0.09884384560036306,0.0394614258935252,0.12853909750669357,0.001913255705187398,0.006930552118135352,0.014125083294917077,0.13064866131812755,0.3015863265819286,0.730921073981089
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,Medium,496,0.09882754791503343,0.039458614452046833,0.12852576604243277,0.0019152125205992828,0.006929417610589695,0.014126624784509687,0.1306222656302806,0.3015776050703964,0.7309055679016037
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,Slow,496,0.10022498562582159,0.04005964419533575,0.12966625817120403,0.002051363484691432,0.006977750175911419,0.014437476175779037,0.1332212301788591,0.304243997843279,0.7320760628475266
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,496,0.09013241746238006,0.03534819289889815,0.12248967183653807,0.0016336536957897933,0.006038235114049999,0.01203506037893373,0.11443234787510582,0.2738848157037346,0.7214958538048477
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,Fast,496,0.1689480238771342,0.08147965263341156,0.18786606807343165,0.0016127407497674839,0.01880889941055346,0.04124906007126581,0.2362380791790151,0.4427569420846117,0.8271847932105579
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,Medium,496,0.16891952788965156,0.0814391718096318,0.1878519298967759,0.0016118605736819757,0.01880430499411747,0.04124110126319498,0.23621829037196668,0.4426521301387615,0.8271529889277178
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,Slow,496,0.16825364593061615,0.08179114872787466,0.1873123908781994,0.001697442333162951,0.017938998198462376,0.04016141008508875,0.23283748174194907,0.44695487954610513,0.8283615299989068
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,496,0.16712710111627413,0.08108423344114576,0.19150124738803703,0.0010868559342332032,0.018252583749187125,0.03757784798470926,0.23776777713342884,0.43061665037531494,0.8481665005447422
