Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,Fz,0.2708932137667127
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,Fp1,0.006461073648056131
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,F7,0.016727531984453124
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,F3,0.13637440599469663
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FC1,0.3413622776830221
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,C3,0.15813542667346722
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FC5,0.08577598279003122
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FT9,0.021514854064975216
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,T7,0.018332219169815187
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,CP5,0.039232490270674165
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,CP1,0.17537814824962775
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,P3,0.02546892301473033
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,P7,0.006968216165924652
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,PO9,0.0034394787021333265
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,O1,0.007593944553694194
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,Pz,0.09525226151592912
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,Oz,0.010693611745248806
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,O2,0.01421443828317543
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,PO10,0.006038031523062962
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,P8,0.01429391064302122
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,P4,0.05059250418076757
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,CP2,0.17804009071470242
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,CP6,0.11398010811447506
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,T8,0.06041514405916701
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FT10,0.07223469534679472
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FC6,0.08378473585536673
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,C4,0.17264094700185836
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,FC2,0.3876582252385431
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,F4,0.10172497394105484
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,F8,0.03872545274603568
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Cz,Fp2,0.01113844640084705
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,Fp1,0.04810649102045214
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,F7,0.03564854860659461
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,F3,0.4506877792346145
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,FC1,0.40099588201208713
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,C3,0.06986906830803946
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,FC5,0.07520287663478332
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,FT9,0.03245341493392206
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,T7,0.015253686501527685
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,CP5,0.00595438917152388
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,CP1,0.030611387132807387
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,P3,0.005346891021008965
MODULATION_DATASET,Band-Power Envelope Coherence,Gamma,UltraSlow,Fz,P7,0.0035382431664648024
