Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,Fp2,0.8629601334753991
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,F7,0.7178381945823041
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,F3,0.5861219857935148
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,Fz,0.5197889364367103
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,F4,0.5234380771511087
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,F8,0.4095409643605702
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,FC1,0.3765082329413633
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,FC2,0.3812936385259453
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,FC5,0.44236020074293003
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,FC6,0.36216366029289904
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,C3,0.22566841618798508
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,Cz,0.2730651792505557
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,C4,0.23964350690738573
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,FT9,0.23475763685475007
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,FT10,0.1765318950166845
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,T7,0.23011106867341746
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,T8,0.22620187852084062
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,CP1,0.08025338806930205
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,CP2,0.11309845514621306
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,CP5,0.04750209114678845
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,CP6,0.1253661872566973
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,P3,0.023084028603104427
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,Pz,0.07142901873578295
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,P4,0.08102918774087842
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,P7,0.05979135138247685
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,P8,0.03715241015720694
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,O1,0.007696034673266002
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,Oz,0.01205222949017894
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,O2,0.01377874450124312
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,PO9,0.09286343800164011
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp1,PO10,0.00846284062111755
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,F7,0.5415332710841025
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,F3,0.5405156799322959
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,Fz,0.5355884674099949
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,F4,0.6431944516845136
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,F8,0.5967331013823416
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,FC1,0.37175458033765424
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,FC2,0.4377017310883493
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,FC5,0.3359917279400023
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,FC6,0.5038303915019513
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,C3,0.1923364014633649
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,Cz,0.2903502836894824
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,C4,0.33596129558539223
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,FT9,0.17875888505599682
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,FT10,0.3009540011715706
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,T7,0.14661144025775502
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,T8,0.3656669499976101
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,CP1,0.09696208556448105
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,CP2,0.1540616281834469
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,CP5,0.02972472757605396
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,CP6,0.21682588389256707
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,P3,0.02675306048462458
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,Pz,0.09475906748928342
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,P4,0.12668555769931428
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,P7,0.06092469293717902
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,P8,0.08646464566246558
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,O1,0.006938659918543788
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,Oz,0.019268551072132933
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,O2,0.02640754635054533
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,PO9,0.058696157475811514
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fp2,PO10,0.029730598837965666
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,F3,0.553312152939123
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,Fz,0.42960815677782394
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,F4,0.3828838363064317
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,F8,0.26027788751610637
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,FC1,0.34032589047506245
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,FC2,0.30407619422494736
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,FC5,0.5920543717657862
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,FC6,0.25212697965077824
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,C3,0.2606609756806181
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,Cz,0.2332700977378996
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,C4,0.16497566048251983
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,FT9,0.45170500617528786
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,FT10,0.1069068072551893
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,T7,0.4760513770915824
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,T8,0.1388671761570905
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,CP1,0.059731304747702704
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,CP2,0.07586827598323997
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,CP5,0.07769164765241217
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,CP6,0.06924142230978915
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,P3,0.020181427705554773
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,Pz,0.04983981450914799
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,P4,0.04683369559121378
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,P7,0.0815536051901309
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,P8,0.012066317477185323
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,O1,0.030324086952924052
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,Oz,0.023199206213723643
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,O2,0.017270994184291684
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,PO9,0.19224526294425665
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F7,PO10,0.00591769411288451
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,Fz,0.89392457770256
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,F4,0.7699067774003244
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,F8,0.3593879920746181
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,FC1,0.8499525844653304
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,FC2,0.7873604062206867
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,FC5,0.717739750435587
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,FC6,0.5969755664632568
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,C3,0.651420952782106
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,Cz,0.6982808661132432
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,C4,0.5446780669901963
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,FT9,0.08461246679517807
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,FT10,0.1130234580789094
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,T7,0.3564656868400159
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,T8,0.3511188033753173
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,CP1,0.3564790525112886
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,CP2,0.39124889995100043
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,CP5,0.28252477902610884
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,CP6,0.30062313764313514
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,P3,0.1991320154511116
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,Pz,0.31624257526732574
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,P4,0.28751474989519277
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,P7,0.004362670451705615
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,P8,0.09406865807073234
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,O1,0.0265630019833067
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,Oz,0.048537665835017216
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,O2,0.051970067374233216
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,PO9,0.17897448907095187
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,F3,PO10,0.005667209910220962
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fz,F4,0.8608725514345121
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,Fz,F8,0.39192051365264713
