Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,Fp2,0.8377201859588683
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,F7,0.7620023304962862
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,F3,0.681865237649214
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,Fz,0.628786958995187
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,F4,0.6302325074798371
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,F8,0.5572703096090008
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,FC1,0.5079765311145039
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,FC2,0.5196926754742122
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,FC5,0.5909814693322779
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,FC6,0.5068274021068252
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,C3,0.38334912331775506
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,Cz,0.4108754206881973
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,C4,0.39887965416003335
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,FT9,0.4334286609229558
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,FT10,0.3769926773660359
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,T7,0.40669180429770463
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,T8,0.4019118861017588
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,CP1,0.18601177207948855
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,CP2,0.24737523242888448
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,CP5,0.16195478404332078
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,CP6,0.27974944885024733
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,P3,0.059880110851251965
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,Pz,0.17144420254208706
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,P4,0.19682029362580247
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,P7,0.20915722346539806
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,P8,0.13160692728063803
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,O1,0.07229083887421872
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,Oz,0.011502757037013403
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,O2,0.0119910691814205
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,PO9,0.2500215390759169
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp1,PO10,0.04183635844152515
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,F7,0.6137068551001095
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,F3,0.6431852538924575
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,Fz,0.6374451583888038
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,F4,0.7234732415361178
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,F8,0.7122729672883152
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,FC1,0.5014949688766419
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,FC2,0.5649431531038527
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,FC5,0.4905979495464795
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,FC6,0.6243012927618012
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,C3,0.3509548100992089
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,Cz,0.42490767901316
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,C4,0.4907752652627904
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,FT9,0.3643993752710894
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,FT10,0.5055387719191573
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,T7,0.30624054677846696
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,T8,0.5321729426301588
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,CP1,0.21964242879386145
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,CP2,0.3068960422231931
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,CP5,0.11916451201074858
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,CP6,0.3882659821265948
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,P3,0.08143993621520723
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,Pz,0.21976239439510123
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,P4,0.2700514591171282
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,P7,0.20299626128752535
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,P8,0.2303639447813867
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,O1,0.024551446245001482
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,Oz,0.04317521353670954
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,O2,0.07280860235269211
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,Fp2,PO9,0.18956390511597213
