Metric,Band,Envelope_Band,Channel_A,Channel_B,Baseline,Modulation,Delta,Abs_Delta,Percent_Change
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,Fz,0.7309142313628555,0.6282935643757218,-0.10262066698713368,0.10262066698713368,-14.040042262658945
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,Fp1,0.4055782200471931,0.3055616314221294,-0.10001658862506374,0.10001658862506374,-24.66024645342785
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,F7,0.39981651229647086,0.2638312673634272,-0.13598524493304365,0.13598524493304365,-34.01191315285353
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,F3,0.6144199064982521,0.607106295479852,-0.007313611018400112,0.007313611018400112,-1.1903278101913057
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,FC1,0.7994958739529122,0.8772790634494807,0.07778318949656848,0.07778318949656848,9.729029508556247
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,C3,0.42329032394381405,0.4642976636727179,0.04100733972890386,0.04100733972890386,9.687757411234143
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,FC5,0.7045059585470667,0.5181475849302225,-0.18635837361684415,0.18635837361684415,-26.452348820608865
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,FT9,0.22251939765468706,0.024352016551628605,-0.19816738110305845,0.19816738110305845,-89.05622754317407
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,T7,0.5733800018558172,0.11820205940045946,-0.4551779424553577,0.4551779424553577,-79.38503976108628
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,CP5,0.1525974644893135,0.16789998637738776,0.015302521888074266,0.015302521888074266,10.028031553005201
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,CP1,0.027097248544351218,0.10270033054108202,0.0756030819967308,0.0756030819967308,279.0064898027858
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,P3,0.023484736459323016,0.013601390068803038,-0.009883346390519979,0.009883346390519979,-42.08412731238663
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,P7,0.006800282266462152,0.005916059670541863,-0.0008842225959202893,0.0008842225959202893,-13.002733728879555
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,PO9,0.021379417775692078,0.0712058038467534,0.049826386071061324,0.049826386071061324,233.05773147720052
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,O1,0.0037044804637695813,0.02713791574168845,0.023433435277918867,0.023433435277918867,632.5700866046307
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,Pz,0.023617383339945366,0.08191042620669577,0.0582930428667504,0.0582930428667504,246.82261378277332
Band-Power Envelope Coherence Change,Alpha,UltraSlow,Cz,Oz,0.005129104447863828,0.011639492621560853,0.006510388173697024,0.006510388173697024,126.93030995710127
