Metric,Band,Envelope_Band,Channel_A,Channel_B,Baseline,Modulation,Delta,Abs_Delta,Percent_Change
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,Fz,0.7620135234783265,0.49015439892412793,-0.2718591245541986,0.2718591245541986,-35.67641730467673
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,Fp1,0.2143937884643761,0.16383239947175865,-0.050561388992617445,0.050561388992617445,-23.583420655407085
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,F7,0.2904607388416277,0.140062447720123,-0.1503982911215047,0.1503982911215047,-51.779215229328685
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,F3,0.6045561473666439,0.327166832687803,-0.27738931467884087,0.27738931467884087,-45.883135236835685
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,FC1,0.8018115765255011,0.6265826797247306,-0.17522889680077047,0.17522889680077047,-21.854124077391322
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,C3,0.6418503948437201,0.2749576899947707,-0.36689270484894937,0.36689270484894937,-57.16171677954356
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,FC5,0.631981136748985,0.1690970181506091,-0.46288411859837597,0.46288411859837597,-73.2433440940228
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,FT9,0.11891954514976075,0.030517396752829527,-0.08840214839693122,0.08840214839693122,-74.33777877774625
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,T7,0.5763852340517642,0.07143908183835439,-0.5049461522134099,0.5049461522134099,-87.60567106548422
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,CP5,0.4111151047556247,0.09085503912788427,-0.3202600656277404,0.3202600656277404,-77.9003402996126
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,CP1,0.3609880831846761,0.23400601571709922,-0.1269820674675769,0.1269820674675769,-35.17624912914778
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,P3,0.3174350014380632,0.0829080998663152,-0.234526901571748,0.234526901571748,-73.88186573921593
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,P7,0.1061463208012172,0.014878397543670424,-0.09126792325754678,0.09126792325754678,-85.98312458560522
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,PO9,0.1699100372220847,0.017179281848445367,-0.15273075537363934,0.15273075537363934,-89.88918952092818
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,O1,0.09274304095073446,0.027033173398702495,-0.06570986755203197,0.06570986755203197,-70.85153438837244
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,Pz,0.3309051532595118,0.2474620281508586,-0.0834431251086532,0.0834431251086532,-25.216629081389094
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,Oz,0.14393247937805786,0.02476487738026659,-0.11916760199779128,0.11916760199779128,-82.79410075663442
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,O2,0.08563652143593256,0.015217047235331361,-0.0704194742006012,0.0704194742006012,-82.23065699052742
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,PO10,0.016185923431302176,0.04036262848034078,0.024176705049038603,0.024176705049038603,149.36871011191704
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,P8,0.019251668954088464,0.05683743048468621,0.03758576153059774,0.03758576153059774,195.23378269298402
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,P4,0.32265832097876124,0.18504502079991958,-0.13761330017884166,0.13761330017884166,-42.6498531825869
Band-Power Envelope Coherence Change,BetaH,UltraSlow,Cz,CP2,0.3913533054940306,0.37778845445732434,-0.013564851036706238,0.013564851036706238,-3.466139380011739
