Metric,Band,Envelope_Band,Channel_A,Channel_B,Baseline,Modulation,Delta,Abs_Delta,Percent_Change
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,Fz,0.8071717772150572,0.6359284284774405,-0.1712433487376167,0.1712433487376167,-21.215229963620477
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,Fp1,0.5497102967075771,0.2134119841792512,-0.33629831252832587,0.33629831252832587,-61.17737188889196
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,F7,0.5642567106414702,0.1626915938006421,-0.4015651168408281,0.4015651168408281,-71.16709633533864
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,F3,0.7661303469070423,0.5711164198547244,-0.1950139270523179,0.1950139270523179,-25.454405746960933
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,FC1,0.8075752188772363,0.7846580787954646,-0.022917140081771703,0.022917140081771703,-2.8377715841297326
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,C3,0.5973061467261047,0.3315550510614782,-0.2657510956646265,0.2657510956646265,-44.49160570692853
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,FC5,0.7052262833843291,0.29530562808038396,-0.40992065530394517,0.40992065530394517,-58.12611710056609
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,FT9,0.38703223005249615,0.03269459405930422,-0.3543376359931919,0.3543376359931919,-91.55248800471485
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,T7,0.5911544288310869,0.0715511519740284,-0.5196032768570585,0.5196032768570585,-87.89636878547805
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,CP5,0.26960081772703404,0.1262916307728283,-0.14330918695420575,0.14330918695420575,-53.15606538675402
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,CP1,0.21656193300520865,0.1815324135236196,-0.035029519481589055,0.035029519481589055,-16.17528944052533
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,P3,0.14916459346373925,0.04819628873838195,-0.10096830472535731,0.10096830472535731,-67.68918976063975
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,P7,0.06459728161400284,0.02119627461121579,-0.043401007002787054,0.043401007002787054,-67.1870486162671
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,PO9,0.030800609493273422,0.020106558152208708,-0.010694051341064714,0.010694051341064714,-34.72025884228103
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,O1,0.04140733751740898,0.0029510058722944502,-0.03845633164511453,0.03845633164511453,-92.87322960319834
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,Pz,0.19993915859183356,0.14664751161325432,-0.053291646978579243,0.053291646978579243,-26.65393180300996
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,Oz,0.08117143733587588,0.004223312824215075,-0.0769481245116608,0.0769481245116608,-94.79704565691056
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,O2,0.054775892449939696,0.00688981588826118,-0.047886076561678516,0.047886076561678516,-87.42180988733709
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,PO10,0.061403825985894195,0.00898887620867775,-0.052414949777216446,0.052414949777216446,-85.36104865722423
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,P8,0.03277847977584097,0.014021324684712278,-0.01875715509112869,0.01875715509112869,-57.2239933621127
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,P4,0.21320547892556946,0.12442253711897058,-0.08878294180659888,0.08878294180659888,-41.641960729158
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,CP2,0.25135214702211983,0.2820478023050754,0.030695655282955592,0.030695655282955592,12.212211292650812
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,CP6,0.26954478640398727,0.16008443847550485,-0.10946034792848242,0.10946034792848242,-40.60933598041324
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,T8,0.36055116147909716,0.18995345531813765,-0.1705977061609595,0.1705977061609595,-47.315811010318946
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,FT10,0.2502464815854537,0.059847950863007475,-0.19039853072244622,0.19039853072244622,-76.08439867612256
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,FC6,0.6580333670199477,0.3849418455379477,-0.27309152148200005,0.27309152148200005,-41.50116622790065
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,C4,0.5634915987391741,0.4201182161191466,-0.14337338262002747,0.14337338262002747,-25.443748041821536
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,FC2,0.826529392093848,0.7407901596703781,-0.08573923242346992,0.08573923242346992,-10.373403927749818
Band-Power Envelope Coherence Change,BetaL,UltraSlow,Cz,F4,0.704767567019505,0.5080194809754748,-0.19674808604403027,0.19674808604403027,-27.916733863915887
