Metric,Band,Envelope_Band,Channel_A,Channel_B,Baseline,Modulation,Delta,Abs_Delta,Percent_Change
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,Fz,0.33006646996297095,0.2708932137667127,-0.05917325619625824,0.05917325619625824,-17.927678689355115
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,Fp1,0.0766927380294454,0.006461073648056131,-0.07023166438138927,0.07023166438138927,-91.575377520652
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,F7,0.01077539112447032,0.016727531984453124,0.005952140859982804,0.005952140859982804,55.23828129510603
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,F3,0.09197253709586092,0.13637440599469663,0.04440186889883571,0.04440186889883571,48.277312229145785
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,FC1,0.19920152806269445,0.3413622776830221,0.14216074962032763,0.14216074962032763,71.36529071985107
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,C3,0.1486658618282889,0.15813542667346722,0.00946956484517833,0.00946956484517833,6.369696935612432
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,FC5,0.06766759132505208,0.08577598279003122,0.01810839146497914,0.01810839146497914,26.76080396890823
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,FT9,0.013290532537569965,0.021514854064975216,0.008224321527405251,0.008224321527405251,61.88105332992912
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,T7,0.06227733577169641,0.018332219169815187,-0.043945116601881225,0.043945116601881225,-70.5635783184117
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,CP5,0.045370953910905815,0.039232490270674165,-0.006138463640231649,0.006138463640231649,-13.529500949628805
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,CP1,0.05863123294200965,0.17537814824962775,0.1167469153076181,0.1167469153076181,199.12068951899562
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,P3,0.04777291157741153,0.02546892301473033,-0.0223039885626812,0.0223039885626812,-46.687521916137925
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,P7,0.013601206468194321,0.006968216165924652,-0.006632990302269669,0.006632990302269669,-48.76766129372828
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,PO9,0.017713885137379908,0.0034394787021333265,-0.014274406435246582,0.014274406435246582,-80.58314889444934
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,O1,0.017845908056772327,0.007593944553694194,-0.010251963503078134,0.010251963503078134,-57.447138416627816
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,Pz,0.06656860448883496,0.09525226151592912,0.02868365702709416,0.02868365702709416,43.08886636177727
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,Oz,0.02378211839799579,0.010693611745248806,-0.013088506652746985,0.013088506652746985,-55.03507481423523
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,O2,0.017673968637124324,0.01421443828317543,-0.0034595303539488934,0.0034595303539488934,-19.57415691392662
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,PO10,0.05850836510228126,0.006038031523062962,-0.0524703335792183,0.0524703335792183,-89.68005427513214
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,P8,0.07215082425648695,0.01429391064302122,-0.057856913613465726,0.057856913613465726,-80.18884636409946
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,P4,0.11442824694362996,0.05059250418076757,-0.06383574276286239,0.06383574276286239,-55.78669993459689
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,CP2,0.0911425045313276,0.17804009071470242,0.08689758618337481,0.08689758618337481,95.34254805726376
Band-Power Envelope Coherence Change,Gamma,UltraSlow,Cz,CP6,0.0741497353842155,0.11398010811447506,0.039830372730259564,0.039830372730259564,53.716136037268164
