Metric,Band,Envelope_Band,Channel_A,Channel_B,Baseline,Modulation,Delta,Abs_Delta,Percent_Change
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,Fz,0.587663516615899,0.6586110791842074,0.07094756256830836,0.07094756256830836,12.072820680934015
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,Fp1,0.27835866496532685,0.17004103712318375,-0.1083176278421431,0.1083176278421431,-38.912971455598644
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,F7,0.41959665916677513,0.14978391504825928,-0.26981274411851586,0.26981274411851586,-64.3028818804953
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,F3,0.6815741128492391,0.5346014623823705,-0.14697265046686858,0.14697265046686858,-21.56370784865449
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,FC1,0.7223570625919742,0.7850898420047929,0.06273277941281874,0.06273277941281874,8.684455743773016
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,C3,0.39467934094170737,0.1607433331897989,-0.23393600775190848,0.23393600775190848,-59.272422821456956
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,FC5,0.4991686746736459,0.2371941127991441,-0.2619745618745018,0.2619745618745018,-52.48217189225256
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,FT9,0.2492233677511295,0.03955046108098148,-0.209672906670148,0.209672906670148,-84.13051655714887
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,T7,0.3357290984964424,0.046793295796225015,-0.28893580270021735,0.28893580270021735,-86.06218644562296
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,CP5,0.46287133590612783,0.1508474739435915,-0.31202386196253634,0.31202386196253634,-67.41049569459969
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,CP1,0.46756662158791856,0.3895964264142476,-0.07797019517367099,0.07797019517367099,-16.675740220478914
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,P3,0.4593843491029839,0.21185574740777602,-0.2475286016952079,0.2475286016952079,-53.88268063083651
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,P7,0.14952160659649194,0.034551922406448284,-0.11496968419004366,0.11496968419004366,-76.89168596235581
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,PO9,0.16253330298298502,0.07161381423142489,-0.09091948875156013,0.09091948875156013,-55.93899039944948
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,O1,0.17060041893557837,0.05391158026427909,-0.11668883867129928,0.11668883867129928,-68.39891683698794
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,Pz,0.40457283203950706,0.40088800451183465,-0.0036848275276724074,0.0036848275276724074,-0.9107946050397618
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,Oz,0.3231846067603554,0.09318228308874192,-0.23000232367161344,0.23000232367161344,-71.16747483031037
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,O2,0.29687330203688944,0.04007881932684881,-0.25679448271004063,0.25679448271004063,-86.49968890706494
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,PO10,0.14953990405602646,0.004455453084264974,-0.14508445097176148,0.14508445097176148,-97.02055908595761
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,P8,0.14334562638867954,0.09285984434951251,-0.050485782039167024,0.050485782039167024,-35.219618003744024
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,P4,0.4306535658131358,0.4244393001136185,-0.006214265699517274,0.006214265699517274,-1.442984847410667
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,CP2,0.4623648337500313,0.3561942067384091,-0.10617062701162217,0.10617062701162217,-22.962522073861113
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,CP6,0.4281798964677884,0.412949881919689,-0.015230014548099413,0.015230014548099413,-3.556919573697256
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,T8,0.10314964134460167,0.36789683668878753,0.2647471953441859,0.2647471953441859,256.6632243147799
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,FT10,0.15618700086407744,0.01865268727334901,-0.13753431359072843,0.13753431359072843,-88.05746498098033
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,FC6,0.5353054231151819,0.5142615866654077,-0.021043836449774256,0.021043836449774256,-3.931183122956377
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,C4,0.49102039335865993,0.6459904465739901,0.15497005321533014,0.15497005321533014,31.56081810682232
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,FC2,0.3417378996368105,0.7548246625163855,0.41308676287957496,0.41308676287957496,120.87824128333206
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,F4,0.2718864716259761,0.6135400258211197,0.34165355419514354,0.34165355419514354,125.66037293136944
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,F8,0.20677519839348069,0.07391470033822709,-0.1328604980552536,0.1328604980552536,-64.25359476740925
Band-Power Envelope Coherence Change,Theta,UltraSlow,Cz,Fp2,0.25428817319189195,0.30347806153473517,0.04918988834284321,0.04918988834284321,19.34415105720365
Band-Power Envelope Coherence Change,Theta,UltraSlow,Fz,Fp1,0.38546037966798513,0.23244777780346543,-0.1530126018645197,0.1530126018645197,-39.69606474115875
Band-Power Envelope Coherence Change,Theta,UltraSlow,Fz,F7,0.5546988994978771,0.25469660065073757,-0.3000022988471395,0.3000022988471395,-54.08380999470284
Band-Power Envelope Coherence Change,Theta,UltraSlow,Fz,F3,0.7596333632038427,0.7154686287585221,-0.04416473444532054,0.04416473444532054,-5.813954018429443
