Metric,Band,Envelope_Band,Channel_A,Channel_B,Baseline,Modulation,Delta,Abs_Delta,Percent_Change
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,Fp2,0.8363012377988526,0.8629601334753991,0.026658895676546557,0.026658895676546557,3.1877144827278805
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,F7,0.7496954707600643,0.7178381945823041,-0.03185727617776013,0.03185727617776013,-4.249362230435012
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,F3,0.7540984601974725,0.5861219857935148,-0.1679764744039577,0.1679764744039577,-22.27513823061917
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,Fz,0.6661949008028686,0.5197889364367103,-0.14640596436615827,0.14640596436615827,-21.976446260653795
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,F4,0.6140468640655627,0.5234380771511087,-0.09060878691445406,0.09060878691445406,-14.756005154808449
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,F8,0.529226977310153,0.4095409643605702,-0.11968601294958281,0.11968601294958281,-22.615251693686986
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,FC1,0.6061579986725265,0.3765082329413633,-0.2296497657311632,0.2296497657311632,-37.88612312863832
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,FC2,0.5817378399603975,0.3812936385259453,-0.20044420143445224,0.20044420143445224,-34.456105081302205
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,FC5,0.6330470697159687,0.44236020074293003,-0.19068686897303866,0.19068686897303866,-30.122068025462113
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,FC6,0.5729416221729073,0.36216366029289904,-0.2107779618800083,0.2107779618800083,-36.788732695073406
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,C3,0.4874918586654554,0.22566841618798508,-0.26182344247747036,0.26182344247747036,-53.70826975331058
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,Cz,0.49512744592190994,0.2730651792505557,-0.22206226667135426,0.22206226667135426,-44.84951672551339
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,C4,0.4742122274812874,0.23964350690738573,-0.23456872057390166,0.23456872057390166,-49.46492455915381
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,FT9,0.38063789648110924,0.23475763685475007,-0.14588025962635917,0.14588025962635917,-38.325206442916304
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,FT10,0.33584903260647136,0.1765318950166845,-0.15931713758978686,0.15931713758978686,-47.43712862691659
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,T7,0.513816693608276,0.23011106867341746,-0.2837056249348585,0.2837056249348585,-55.21533816710717
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,T8,0.3794588514474603,0.22620187852084062,-0.15325697292661966,0.15325697292661966,-40.388298320625566
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,CP1,0.3128663592204524,0.08025338806930205,-0.23261297115115037,0.23261297115115037,-74.34898776932621
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,CP2,0.3330706057060113,0.11309845514621306,-0.21997215055979827,0.21997215055979827,-66.04369968149014
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,CP5,0.3360247075791979,0.04750209114678845,-0.28852261643240945,0.28852261643240945,-85.86351239198902
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,CP6,0.3293228418384452,0.1253661872566973,-0.2039566545817479,0.2039566545817479,-61.93213123121361
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,P3,0.2701018623825018,0.023084028603104427,-0.24701783377939734,0.24701783377939734,-91.45358406658661
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,Pz,0.3044111813340895,0.07142901873578295,-0.23298216259830656,0.23298216259830656,-76.53534984400261
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,P4,0.30688362427387533,0.08102918774087842,-0.22585443653299692,0.22585443653299692,-73.59611874611964
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,P7,0.02486440986834911,0.05979135138247685,0.03492694151412774,0.03492694151412774,140.46961781541268
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,P8,0.13513584664622008,0.03715241015720694,-0.09798343648901314,0.09798343648901314,-72.5073612374144
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,O1,0.16579339896198153,0.007696034673266002,-0.15809736428871554,0.15809736428871554,-95.35805724386483
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,Oz,0.19667007353517824,0.01205222949017894,-0.18461784404499929,0.18461784404499929,-93.87185387510257
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,O2,0.19647249947407958,0.01377874450124312,-0.18269375497283646,0.18269375497283646,-92.98693479335466
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,PO9,0.03155519166607438,0.09286343800164011,0.06130824633556573,0.06130824633556573,194.28893661729666
Raw EEG Band-Limited Coherence Change,Theta,,Fp1,PO10,0.13724051542192164,0.00846284062111755,-0.1287776748008041,0.1287776748008041,-93.8335697770443
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,F7,0.612619810983144,0.5415332710841025,-0.07108653989904146,0.07108653989904146,-11.603695901534822
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,F3,0.6995096406248993,0.5405156799322959,-0.1589939606926034,0.1589939606926034,-22.72934516678968
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,Fz,0.6908925547570894,0.5355884674099949,-0.15530408734709455,0.15530408734709455,-22.47876117317516
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,F4,0.7033303178709286,0.6431944516845136,-0.06013586618641498,0.06013586618641498,-8.550159812313222
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,F8,0.7002439876378038,0.5967331013823416,-0.10351088625546223,0.10351088625546223,-14.782117102446655
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,FC1,0.611045561190674,0.37175458033765424,-0.23929098085301975,0.23929098085301975,-39.160906493902196
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,FC2,0.6368952133301333,0.4377017310883493,-0.19919348224178401,0.19919348224178401,-31.275707223526027
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,FC5,0.5646574902083743,0.3359917279400023,-0.22866576226837199,0.22866576226837199,-40.496365714371024
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,FC6,0.6963651766219724,0.5038303915019513,-0.1925347851200211,0.1925347851200211,-27.648537230709366
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,C3,0.47197730867926735,0.1923364014633649,-0.27964090721590246,0.27964090721590246,-59.2488032948916
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,Cz,0.5136990804688082,0.2903502836894824,-0.2233487967793258,0.2233487967793258,-43.47852765776705
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,C4,0.5482956798601757,0.33596129558539223,-0.21233438427478346,0.21233438427478346,-38.72625520757927
Raw EEG Band-Limited Coherence Change,Theta,,Fp2,FT9,0.296605280546811,0.17875888505599682,-0.11784639549081419,0.11784639549081419,-39.73172536697821
