Metric,Band,Envelope_Band,Channel_A,Channel_B,Baseline,Modulation,Delta,Abs_Delta,Percent_Change
Raw EEG Phase-Locking Value Change,Theta,,Fp1,Fp2,0.8524999765028727,0.8377201859588683,-0.014779790544004356,0.014779790544004356,-1.7336998183429924
Raw EEG Phase-Locking Value Change,Theta,,Fp1,F7,0.784593892641082,0.7620023304962862,-0.02259156214479585,0.02259156214479585,-2.8793956155774616
Raw EEG Phase-Locking Value Change,Theta,,Fp1,F3,0.8051345789340972,0.681865237649214,-0.1232693412848832,0.1232693412848832,-15.310402075647676
Raw EEG Phase-Locking Value Change,Theta,,Fp1,Fz,0.7480576763239876,0.628786958995187,-0.11927071732880057,0.11927071732880057,-15.944053661063403
Raw EEG Phase-Locking Value Change,Theta,,Fp1,F4,0.73314156120048,0.6302325074798371,-0.10290905372064296,0.10290905372064296,-14.03672348790797
Raw EEG Phase-Locking Value Change,Theta,,Fp1,F8,0.6457390554726044,0.5572703096090008,-0.08846874586360354,0.08846874586360354,-13.70038641984492
Raw EEG Phase-Locking Value Change,Theta,,Fp1,FC1,0.693513357739443,0.5079765311145039,-0.1855368266249391,0.1855368266249391,-26.7531727477766
Raw EEG Phase-Locking Value Change,Theta,,Fp1,FC2,0.693890031075898,0.5196926754742122,-0.1741973556016858,0.1741973556016858,-25.104461485285707
Raw EEG Phase-Locking Value Change,Theta,,Fp1,FC5,0.7211418271317482,0.5909814693322779,-0.13016035779947033,0.13016035779947033,-18.049203763033262
Raw EEG Phase-Locking Value Change,Theta,,Fp1,FC6,0.6720974330549148,0.5068274021068252,-0.16527003094808956,0.16527003094808956,-24.59018928206291
Raw EEG Phase-Locking Value Change,Theta,,Fp1,C3,0.6155418406721469,0.38334912331775506,-0.23219271735439184,0.23219271735439184,-37.72167901711552
Raw EEG Phase-Locking Value Change,Theta,,Fp1,Cz,0.5984472901236334,0.4108754206881973,-0.18757186943543608,0.18757186943543608,-31.34308944680584
Raw EEG Phase-Locking Value Change,Theta,,Fp1,C4,0.6013237072367775,0.39887965416003335,-0.20244405307674418,0.20244405307674418,-33.66640141414377
Raw EEG Phase-Locking Value Change,Theta,,Fp1,FT9,0.5711606090229611,0.4334286609229558,-0.13773194810000527,0.13773194810000527,-24.114398984133786
Raw EEG Phase-Locking Value Change,Theta,,Fp1,FT10,0.5034046999105576,0.3769926773660359,-0.12641202254452166,0.12641202254452166,-25.1114108722032
