Band,Region,BaselineMedian
Alpha,Central,0.9279281781494647
Alpha,Frontal,0.988694966384096
Alpha,Occipital,0.964926402936393
Alpha,Parietal,0.942109141189057
Alpha,Temporal,0.9525774148823021
BetaH,Central,0.9292075526228627
BetaH,Frontal,0.9920899538081437
BetaH,Occipital,0.9719874143753329
BetaH,Parietal,0.9604557400705251
BetaH,Temporal,0.9404480558112732
BetaL,Central,0.9473048920596514
BetaL,Frontal,0.991742613209287
BetaL,Occipital,0.9747070782350872
BetaL,Parietal,0.9608225055626887
BetaL,Temporal,0.937517580082436
Gamma,Central,0.9359383153663392
Gamma,Frontal,0.9874006307000995
Gamma,Occipital,0.9683564954067764
Gamma,Parietal,0.9732913734499713
Gamma,Temporal,0.979598323377383
Theta,Central,0.9368381173826843
Theta,Frontal,0.9890030243586635
Theta,Occipital,0.975889022801768
Theta,Parietal,0.963572863049404
Theta,Temporal,0.9448466979446641
