t_mid_s,Session,Band,Region,Value
30.0,MODULATION,Theta,Frontal,5.134564390562554
40.0,MODULATION,Theta,Frontal,5.163498501291185
50.0,MODULATION,Theta,Frontal,5.125503082206253
60.0,MODULATION,Theta,Frontal,5.092516148196568
70.0,MODULATION,Theta,Frontal,4.864581764476992
80.0,MODULATION,Theta,Frontal,4.686859414501359
90.0,MODULATION,Theta,Frontal,4.962501860521441
100.0,MODULATION,Theta,Frontal,5.080454562637941
110.0,MODULATION,Theta,Frontal,4.952724559736739
120.0,MODULATION,Theta,Frontal,4.980552699205463
130.0,MODULATION,Theta,Frontal,5.179835740651651
140.0,MODULATION,Theta,Frontal,5.235856274598209
150.0,MODULATION,Theta,Frontal,4.005070326477973
160.0,MODULATION,Theta,Frontal,4.082408757353872
170.0,MODULATION,Theta,Frontal,4.138273671740106
180.0,MODULATION,Theta,Frontal,4.103756349846971
190.0,MODULATION,Theta,Frontal,4.120066038266155
200.0,MODULATION,Theta,Frontal,4.215838940903199
210.0,MODULATION,Theta,Frontal,5.236753196022343
220.0,MODULATION,Theta,Frontal,5.245869003744673
230.0,MODULATION,Theta,Frontal,5.27935450591941
240.0,MODULATION,Theta,Frontal,5.320576255378057
250.0,MODULATION,Theta,Frontal,5.325050833931589
260.0,MODULATION,Theta,Frontal,5.120290259438606
270.0,MODULATION,Theta,Frontal,5.12690344337951
280.0,MODULATION,Theta,Frontal,5.1989850504082264
290.0,MODULATION,Theta,Frontal,5.094176620265921
300.0,MODULATION,Theta,Frontal,5.112445726343757
310.0,MODULATION,Theta,Frontal,5.114158053509671
320.0,MODULATION,Theta,Frontal,5.049607811418611
330.0,MODULATION,Theta,Frontal,4.966281002240747
340.0,MODULATION,Theta,Frontal,5.36947666026136
350.0,MODULATION,Theta,Frontal,5.351532152608888
360.0,MODULATION,Theta,Frontal,5.374229253962693
370.0,MODULATION,Theta,Frontal,5.399530569983519
380.0,MODULATION,Theta,Frontal,5.38782643693697
390.0,MODULATION,Theta,Frontal,5.347838748914495
400.0,MODULATION,Theta,Frontal,5.101366570113308
410.0,MODULATION,Theta,Frontal,5.177717148097321
420.0,MODULATION,Theta,Frontal,5.252399087984446
430.0,MODULATION,Theta,Frontal,5.257071072262865
440.0,MODULATION,Theta,Frontal,5.215316175287141
450.0,MODULATION,Theta,Frontal,4.824414049078587
460.0,MODULATION,Theta,Frontal,4.78081201609248
470.0,MODULATION,Theta,Frontal,4.847141442006654
480.0,MODULATION,Theta,Frontal,4.811965131140272
490.0,MODULATION,Theta,Frontal,4.713029694953829
500.0,MODULATION,Theta,Frontal,4.744389490540688
510.0,MODULATION,Theta,Frontal,5.42237937169545
520.0,MODULATION,Theta,Frontal,5.43201965698746
530.0,MODULATION,Theta,Frontal,5.405752008198536
540.0,MODULATION,Theta,Frontal,4.45014626074075
550.0,MODULATION,Theta,Frontal,4.611352559798516
560.0,MODULATION,Theta,Frontal,4.570620154891039
570.0,MODULATION,Theta,Frontal,4.554973713358286
580.0,MODULATION,Theta,Frontal,4.529840968773504
590.0,MODULATION,Theta,Frontal,4.550708302211369
600.0,MODULATION,Theta,Frontal,5.240305055089509
610.0,MODULATION,Theta,Frontal,5.2392179032121255
620.0,MODULATION,Theta,Frontal,5.2135765145571575
630.0,MODULATION,Theta,Frontal,5.195375521251053
640.0,MODULATION,Theta,Frontal,5.299023337083415
650.0,MODULATION,Theta,Frontal,5.330591892044308
660.0,MODULATION,Theta,Frontal,5.04765122365558
670.0,MODULATION,Theta,Frontal,4.9330537518622695
680.0,MODULATION,Theta,Frontal,5.109158073068229
690.0,MODULATION,Theta,Frontal,5.23266532084146
700.0,MODULATION,Theta,Frontal,5.141865469841685
710.0,MODULATION,Theta,Frontal,5.033418491691127
720.0,MODULATION,Theta,Frontal,4.996493731962099
730.0,MODULATION,Theta,Frontal,5.3457355117650955
740.0,MODULATION,Theta,Frontal,5.166560482252752
750.0,MODULATION,Theta,Frontal,4.977302066447617
760.0,MODULATION,Theta,Frontal,5.13322221874087
770.0,MODULATION,Theta,Frontal,5.1531595714906775
780.0,MODULATION,Theta,Frontal,5.239374297043518
790.0,MODULATION,Theta,Frontal,4.950699301899087
800.0,MODULATION,Theta,Frontal,5.069543383392802
810.0,MODULATION,Theta,Frontal,5.16155557546757
820.0,MODULATION,Theta,Frontal,5.040697528565564
